Cond.,T1 Aux@1,T2 Aux@1,T3 Aux@1,T3 Exact
C1 Redact,0.15625,0.96875,1.0,1.0
C1b Presidio,0.09375,0.6875,1.0,0.875
C4 Local,0.15625,0.65625,1.0,0.8181818181818182
C5 LG,0.03125,0.0,0.09375,0.0
C6 Agg,0.0625,0.0,0.09375,0.0
