Cond.,Aux@1,Aux@3,Exact,Issue,Ret@5,Edit
C1 Redact,0.65625,0.84375,0.3948863636363636,1.0,1.0,0.242656656390014
C1b Presidio,0.5625,0.8020833333333334,0.3267045454545454,1.0,1.0,0.3450498030805434
C4 Local,0.59375,0.84375,0.3039772727272727,1.0,1.0,0.2947229216881789
C5 LG,0.0416666666666666,0.21875,0.0,1.0,1.0,0.4653481252159451
C6 Agg,0.0416666666666666,0.2916666666666667,0.0,0.4729166666666666,0.6354166666666666,0.626634155723075
