condition,n_personas,aux_top1,ci_low,ci_high
C0 original,96,0.7083333333333334,0.6145833333333334,0.8020833333333334
C1 direct redaction,96,0.7083333333333334,0.6145833333333334,0.8020833333333334
C1b Presidio redaction,96,0.59375,0.4895833333333333,0.6979166666666666
C2 consistent pseudonym,96,0.4270833333333333,0.3333333333333333,0.5208333333333334
C3 per-doc pseudonym,96,0.4270833333333333,0.3229166666666667,0.53125
C4 doc-local proxy,96,0.6041666666666666,0.5,0.6979166666666666
C5 LinkGuard,96,0.041666666666666664,0.010416666666666666,0.08333333333333333
C6 aggressive redaction,96,0.052083333333333336,0.010416666666666666,0.10416666666666667
