Query,C1 Redact Hit@5,C1b Presidio Hit@5,C4 Local Hit@5,C5 LG Hit@5,C6 Agg Hit@5
Short,0.3541666666666667,0.3229166666666667,0.4375,0.0208333333333333,0.0416666666666666
Medium,0.3645833333333333,0.3541666666666667,0.3333333333333333,0.0833333333333333,0.0416666666666666
Verbose,0.375,0.375,0.375,0.2604166666666667,0.03125
