condition,n,top1,top3,T2_top1,T3_top1
C1 direct redaction,24,1.0,1.0,1.0,1.0
C1b Presidio redaction,24,0.9583333333333334,1.0,0.9166666666666666,1.0
C4 doc-local proxy,24,1.0,1.0,1.0,1.0
C4 GPT-5.5 doc-local,24,1.0,1.0,1.0,1.0
C5 LinkGuard,24,0.3333333333333333,0.625,0.25,0.4166666666666667
C6 aggressive redaction,24,0.29166666666666663,0.5833333333333334,0.4166666666666667,0.1666666666666666
