Cond.,n,parsed,Parse,Hit@5,Same,Exact,Unc.
C1 Redact,12,12,1.0,1.0,1.0,0.2333333333333333,0.0833333333333333
C1b Presidio,12,12,1.0,1.0,1.0,0.2583333333333333,0.0833333333333333
C4 Local,12,12,1.0,1.0,1.0,0.2166666666666666,0.1666666666666666
C5 LG,12,12,1.0,0.5,0.4166666666666667,0.0,1.0
C6 Agg,12,12,1.0,0.0833333333333333,0.0,0.0,1.0
