target_k,min_estimated_k,median_estimated_k,edit_ratio,pair_f1,aux_top1,aux_top3,field_aux_top1,field_aux_top3,attr_exact_recovery,attr_coarse_recovery,issue_acc,retrieval_recall_at_5,fact_preservation
1,1.0,1.0,0.2459774209738927,0.213903743315508,0.7083333333333334,0.84375,0.9791666666666666,1.0,0.3948863636363636,0.7878787878787878,1.0,1.0,0.6819444444444444
2,2.0,3.0,0.5205490566319984,0.035840515905004,0.0625,0.28125,0.3541666666666667,0.7291666666666666,0.0066287878787878,0.1893939393939394,1.0,1.0,0.6923611111111112
3,3.0,4.0,0.527792700075415,0.0285977859778597,0.0520833333333333,0.2708333333333333,0.3333333333333333,0.7291666666666666,0.0037878787878787,0.1600378787878787,1.0,1.0,0.69375
5,5.0,8.0,0.53511621320285,0.0192389490560481,0.0416666666666666,0.2604166666666667,0.2395833333333333,0.6666666666666666,0.0,0.1117424242424242,1.0,1.0,0.695138888888889
8,8.0,16.0,0.5376441112120833,0.0174567343867569,0.0416666666666666,0.2604166666666667,0.1666666666666666,0.6145833333333334,0.0,0.0918560606060606,1.0,1.0,0.695138888888889
12,12.0,17.0,0.539158968768939,0.0168974286521616,0.0416666666666666,0.2604166666666667,0.125,0.6041666666666666,0.0,0.0833333333333333,1.0,1.0,0.695138888888889
20,20.0,27.0,0.5442049291410122,0.0168175417421042,0.0416666666666666,0.2604166666666667,0.1041666666666666,0.46875,0.0,0.0464015151515151,1.0,1.0,0.7180555555555554
