condition,n,top1,top3,T2_top1,T3_top1
C1 direct redaction,48,1.0,1.0,1.0,1.0
C1b Presidio redaction,48,0.9791666666666666,1.0,0.9583333333333334,1.0
C4 doc-local proxy,48,1.0,1.0,1.0,1.0
C5 LinkGuard,48,0.4375,0.7083333333333334,0.4166666666666667,0.4583333333333333
C6 aggressive redaction,48,0.3333333333333333,0.6666666666666666,0.4166666666666667,0.25
