Case,n,Role,Loc.,Inst.,High-spec.,Unc.
Direct success,8,0.75,1.0,0.5,0.475,0.0
LG residual,8,0.0,0.0,0.0,0.075,0.875
Agg failure,8,0.0,0.0,0.0,0.1794871794871795,0.75
