condition,n,top1,top3,T2_top1,T3_top1
C1 direct redaction,12,0.75,0.9166666666666666,0.5,1.0
C1b Presidio redaction,12,0.5,1.0,0.3333333333333333,0.6666666666666666
C4 doc-local proxy,12,0.75,0.8333333333333334,0.5,1.0
C4 OpenAI doc-local,12,0.6666666666666666,1.0,0.3333333333333333,1.0
C5 LinkGuard,12,0.24999999999999997,0.5,0.1666666666666666,0.3333333333333333
C6 aggressive redaction,12,0.1666666666666666,0.6666666666666666,0.1666666666666666,0.1666666666666666
