Cond.,Pair,Aux@1,Exact,Issue,Ret@5,Facts,Edit
C0 Orig,0.9632286995515696,0.7083333333333334,0.3948863636363636,1.0,1.0,0.6819444444444444,0.0
C1 Redact,0.213903743315508,0.7083333333333334,0.3948863636363636,1.0,1.0,0.6819444444444444,0.2459774209738927
C1b Presidio,0.1419433445019799,0.59375,0.3323863636363636,1.0,1.0,0.6819444444444444,0.3484981242478663
C2 Stable,0.9787234042553192,0.4270833333333333,0.2727272727272727,1.0,1.0,0.6791666666666667,0.2987698802612304
C3 PerDoc,0.1482220006646726,0.4270833333333333,0.2727272727272727,1.0,1.0,0.6791666666666667,0.3146802328667641
C4 Local,0.1553198768388641,0.6041666666666666,0.3039772727272727,1.0,1.0,0.6819444444444444,0.2878593370619645
C5 LG,0.0192389490560481,0.0416666666666666,0.0,1.0,1.0,0.695138888888889,0.53511621320285
C6 Agg,0.0155844155844155,0.0520833333333333,0.0,0.35,0.3125,0.3888888888888889,0.6806139285870887
