Cond.,Issue Phrase,Slots,Body Ret@5,Placeholder,Stress Utility
C0 Orig,1.0,0.904296875,1.0,0.0,0.869921875
C1 Redact,1.0,0.904296875,1.0,0.0,0.869921875
C1b Presidio,1.0,0.904296875,1.0,0.0185018574230186,0.8709635416666666
C2 Stable,1.0,0.904296875,1.0,0.0,0.869921875
C3 PerDoc,1.0,0.904296875,1.0,0.0,0.869921875
C4 Local,1.0,0.904296875,1.0,6.677350427350427e-05,0.8694010416666667
C5 LG,1.0,0.9049479166666666,1.0,0.0,0.8799479166666668
C6 Agg,0.0,0.6458333333333334,0.2864583333333333,0.1603834537347468,0.4375
