Cond.,Hit@5,ExactRate,CoarseRate,Exact#,Coarse#
C1 Redact,1.0,0.8892045454545454,0.8892045454545454,9.78125,9.78125
C1b Presidio,1.0,0.7840909090909091,0.7840909090909091,8.625,8.625
C4 Local,1.0,0.7130681818181819,0.8607954545454546,7.84375,9.46875
C5 LG,0.3125,0.0,0.0397727272727272,0.0,0.4375
C6 Agg,0.03125,0.0,0.0,0.0,0.0
