Signal removed,Aux@1,Drop,Aux@3,MRR
Role+org,0.5,0.20833333333333337,0.7604166666666666,0.6622933201058201
Location,0.5208333333333334,0.1875,0.78125,0.6731564153439153
Family,0.7083333333333334,0.0,0.84375,0.7927496693121693
Health,0.7083333333333334,0.0,0.84375,0.7927496693121693
Rare event,0.7083333333333334,0.0,0.84375,0.7927496693121693
Schedule,0.7083333333333334,0.0,0.84375,0.7927496693121693
