Cond.,Hit@5,Multi@10,DocRec@10,MRR
C1 Redact,1.0,1.0,0.953125,1.0
C1b Presidio,1.0,1.0,0.9453125,1.0
C4 Local,1.0,1.0,0.9609375,1.0
C5 LG,0.3125,0.0,0.1796875,0.2586201166072489
C6 Agg,0.03125,0.0,0.03125,0.0407782105929268
