condition,pair_f1,fixedk_ari,aux_top1,aux_top3,attr_exact_recovery,attr_coarse_recovery,issue_acc,retrieval_recall_at_5,fact_preservation,edit_ratio
C0 original,0.9632286995515696,1.0,0.7083333333333334,0.84375,0.3948863636363636,0.7878787878787878,1.0,1.0,0.6819444444444444,0.0
C1 direct redaction,0.213903743315508,0.1131116350922839,0.7083333333333334,0.84375,0.3948863636363636,0.7878787878787878,1.0,1.0,0.6819444444444444,0.2459774209738927
C1b Presidio redaction,0.1419433445019799,0.0728768077146676,0.59375,0.8020833333333334,0.3323863636363636,0.7054924242424242,1.0,1.0,0.6819444444444444,0.3484981242478663
C2 consistent pseudonym,0.9787234042553192,1.0,0.4270833333333333,0.6770833333333334,0.2727272727272727,0.6960227272727273,1.0,1.0,0.6791666666666667,0.2987698802612304
C3 per-doc pseudonym,0.1482220006646726,0.0718556549801965,0.4270833333333333,0.6770833333333334,0.2727272727272727,0.6960227272727273,1.0,1.0,0.6791666666666667,0.3146802328667641
C4 doc-local proxy,0.1553198768388641,0.0886948622870584,0.6041666666666666,0.84375,0.3039772727272727,0.7878787878787878,1.0,1.0,0.6819444444444444,0.2878593370619645
C5 LinkGuard,0.0192389490560481,-0.0100731945537528,0.0416666666666666,0.2604166666666667,0.0,0.1117424242424242,1.0,1.0,0.695138888888889,0.53511621320285
C6 aggressive redaction,0.0155844155844155,-0.0123265241041805,0.0520833333333333,0.3125,0.0,0.0,0.35,0.3125,0.3888888888888889,0.6806139285870887
