Variant,Min true k,Med true k,k-cover,Mean L1,Mean L2,Edit,Aux@1,Field@1,Exact,Coarse,Issue,Ret@5
True corpus LinkGuard,5.0,8.0,1.0,1.75,9.25,0.53511621320285,0.0416666666666666,0.2395833333333333,0.0,0.1117424242424242,1.0,1.0
Shuffled corpus stats,1.0,13.0,0.9166666666666666,1.6083333333333334,9.391666666666667,0.5362860489467042,0.0416666666666666,0.1979166666666666,0.0,0.1107954545454545,1.0,1.0
Global L1 generalization,1.0,1.0,0.0,11.0,0.0,0.3810733293995594,0.1979166666666666,0.9791666666666666,0.0,0.7869318181818182,1.0,1.0
Target-k suppression,5.0,8.0,1.0,0.0,9.416666666666666,0.5255451301346259,0.1145833333333333,0.2708333333333333,0.0445075757575757,0.1003787878787878,1.0,1.0
