persona_id,risk_tier,rank,top1,top3,score_true,top_candidate,condition
P0001,T2,2,0,1,0.029562109418753972,P0046,original
P0002,T3,1,1,1,0.17533999883559945,P0002,original
P0003,T1,5,0,0,0.006230158576050612,P0117,original
P0004,T2,1,1,1,0.03648630780792796,P0004,original
P0006,T1,3,0,1,0.009733121516185354,P0026,original
P0007,T2,1,1,1,0.04457382862220517,P0007,original
P0008,T3,1,1,1,0.20103538096513293,P0008,original
P0009,T1,2,0,1,0.013263265220201728,P0097,original
P0011,T3,1,1,1,0.16758733641770474,P0011,original
P0012,T1,1,1,1,0.02004564212451531,P0012,original
P0013,T2,1,1,1,0.03939085583369263,P0013,original
P0014,T3,1,1,1,0.20252083855432035,P0014,original
P0016,T2,1,1,1,0.046403912674181036,P0016,original
P0017,T3,1,1,1,0.2192348094412657,P0017,original
P0018,T1,2,0,1,0.010925369030730702,P0057,original
P0019,T2,1,1,1,0.04413944680470788,P0019,original
P0021,T1,5,0,0,0.005525814942076261,P0028,original
P0022,T2,1,1,1,0.05540690267110989,P0022,original
P0023,T3,1,1,1,0.17948812880841727,P0023,original
P0024,T1,4,0,0,0.010084657036208549,P0085,original
P0026,T3,1,1,1,0.1770224015775263,P0026,original
P0027,T1,9,0,0,0.003281239560829349,P0057,original
P0028,T2,1,1,1,0.029923329910508147,P0028,original
P0029,T3,1,1,1,0.19437338578452482,P0029,original
P0031,T2,1,1,1,0.035609454265039274,P0031,original
P0032,T3,1,1,1,0.19371387218464198,P0032,original
P0033,T1,3,0,1,0.008156798735683556,P0018,original
P0034,T2,1,1,1,0.03980462023737253,P0034,original
P0036,T1,3,0,1,0.011658659677596304,P0085,original
P0037,T2,1,1,1,0.058825070979381264,P0037,original
P0038,T3,1,1,1,0.19098230704749922,P0038,original
P0039,T1,1,1,1,0.016679525941374253,P0039,original
P0041,T3,1,1,1,0.16454615664580424,P0041,original
P0042,T1,4,0,0,0.006582111383856018,P0004,original
P0043,T2,1,1,1,0.03562367324341253,P0043,original
P0044,T3,1,1,1,0.20430094236934307,P0044,original
P0046,T2,1,1,1,0.03322195324480763,P0046,original
P0047,T3,1,1,1,0.15933643302492737,P0047,original
P0048,T1,6,0,0,0.008569286501859034,P0056,original
P0049,T2,1,1,1,0.051965837310159246,P0049,original
P0051,T1,3,0,1,0.008626134692220452,P0075,original
P0052,T2,1,1,1,0.044851115406043314,P0052,original
P0053,T3,1,1,1,0.15530695462827668,P0053,original
P0054,T1,4,0,0,0.008728655601071927,P0037,original
P0056,T3,1,1,1,0.20585993387234397,P0056,original
P0057,T1,3,0,1,0.010158708110073952,P0018,original
P0058,T2,1,1,1,0.03028974652638174,P0058,original
P0059,T3,1,1,1,0.1591787914122503,P0059,original
P0061,T2,1,1,1,0.044451775544704385,P0061,original
P0062,T3,1,1,1,0.18685705586811857,P0062,original
P0063,T1,3,0,1,0.006723279449369725,P0056,original
P0064,T2,1,1,1,0.04494142295701718,P0064,original
P0066,T1,3,0,1,0.00850518298589059,P0028,original
P0067,T2,1,1,1,0.03841971261140255,P0067,original
P0068,T3,1,1,1,0.18966634340299202,P0068,original
P0069,T1,6,0,0,0.0059700512291935605,P0101,original
P0071,T3,1,1,1,0.1647067711484059,P0071,original
P0072,T1,4,0,0,0.013415517493099499,P0034,original
P0073,T2,1,1,1,0.04968053872684473,P0073,original
P0074,T3,1,1,1,0.2127402467396522,P0074,original
P0076,T2,1,1,1,0.03253374852763449,P0076,original
P0077,T3,1,1,1,0.1889262483290208,P0077,original
P0078,T1,6,0,0,0.006336916440864503,P0117,original
P0079,T2,1,1,1,0.030286877662357173,P0079,original
P0081,T1,1,1,1,0.015599221270379052,P0081,original
P0082,T2,1,1,1,0.042635205149587865,P0082,original
P0083,T3,1,1,1,0.180854616298908,P0083,original
