condition,doc_id,edit_ratio,char_delta
c2_consistent_pseudonym,P0003_D02,0.2688741721854304,-35
c3_per_doc_pseudonym,P0003_D02,0.2784313725490196,-25
c4_doc_local_anon,P0003_D02,0.28205128205128205,-49
c5_linkguard,P0003_D02,0.5935397039030956,-47
c6_aggressive_redaction,P0003_D02,0.7375690607734806,-66
c1b_presidio_redaction,P0003_D02,0.23366834170854267,6
c1_direct_redaction,P0003_D03,0.2834532374100719,-49
c2_consistent_pseudonym,P0003_D03,0.2750352609308886,-35
c3_per_doc_pseudonym,P0003_D03,0.28511821974965235,-25
c4_doc_local_anon,P0003_D03,0.2834532374100719,-49
c5_linkguard,P0003_D03,0.3817663817663818,-42
c6_aggressive_redaction,P0003_D03,0.7595307917888563,-62
c1b_presidio_redaction,P0003_D03,0.3466666666666667,6
c1_direct_redaction,P0003_D04,0.2570036540803897,-49
c2_consistent_pseudonym,P0003_D04,0.15449101796407183,-35
c3_per_doc_pseudonym,P0003_D04,0.2047337278106509,-25
c4_doc_local_anon,P0003_D04,0.2570036540803897,-49
c5_linkguard,P0003_D04,0.38909090909090904,-45
c6_aggressive_redaction,P0003_D04,0.5096774193548388,-95
c1b_presidio_redaction,P0003_D04,0.21232876712328763,6
c1_direct_redaction,P0004_D01,0.13993174061433444,-53
c2_consistent_pseudonym,P0004_D01,0.23456790123456794,-41
c3_per_doc_pseudonym,P0004_D01,0.24750277469478354,-31
c4_doc_local_anon,P0004_D01,0.17488789237668156,-40
c5_linkguard,P0004_D01,0.4441805225653207,-90
c6_aggressive_redaction,P0004_D01,0.7221526908635795,-133
c1b_presidio_redaction,P0004_D01,0.34728033472803344,24
c1_direct_redaction,P0004_D02,0.2446675031367629,-53
c2_consistent_pseudonym,P0004_D02,0.5541561712846348,-56
c3_per_doc_pseudonym,P0004_D02,0.5597014925373134,-46
c4_doc_local_anon,P0004_D02,0.2446675031367629,-53
c5_linkguard,P0004_D02,0.6046213093709885,-71
c6_aggressive_redaction,P0004_D02,0.7335127860026918,-107
c1b_presidio_redaction,P0004_D02,0.3099415204678363,5
c1_direct_redaction,P0004_D03,0.24085750315258514,-53
c2_consistent_pseudonym,P0004_D03,0.35155279503105585,-41
c3_per_doc_pseudonym,P0004_D03,0.35950920245398776,-31
c4_doc_local_anon,P0004_D03,0.35980148883374685,-40
c5_linkguard,P0004_D03,0.4656290531776913,-75
c6_aggressive_redaction,P0004_D03,0.7275132275132274,-90
c1b_presidio_redaction,P0004_D03,0.48063781321184507,32
c1_direct_redaction,P0004_D04,0.22341696535244926,-53
c2_consistent_pseudonym,P0004_D04,0.27338129496402874,-56
c3_per_doc_pseudonym,P0004_D04,0.2819905213270142,-46
c4_doc_local_anon,P0004_D04,0.22341696535244926,-53
c5_linkguard,P0004_D04,0.4386391251518833,-67
c6_aggressive_redaction,P0004_D04,0.5699208443271768,-132
c1b_presidio_redaction,P0004_D04,0.2871508379888268,5
c1_direct_redaction,P0005_D01,0.26086956521739135,-52
c2_consistent_pseudonym,P0005_D01,0.6301886792452831,-39
c3_per_doc_pseudonym,P0005_D01,0.662111801242236,-29
c4_doc_local_anon,P0005_D01,0.6575,-34
c5_linkguard,P0005_D01,0.6577946768060836,-45
c6_aggressive_redaction,P0005_D01,0.7916666666666666,-114
c1b_presidio_redaction,P0005_D01,0.6789536266349584,7
c1_direct_redaction,P0005_D02,0.2567901234567901,-52
c2_consistent_pseudonym,P0005_D02,0.2698412698412699,-43
c3_per_doc_pseudonym,P0005_D02,0.30518697225572977,-33
c4_doc_local_anon,P0005_D02,0.2567901234567901,-52
c5_linkguard,P0005_D02,0.5507060333761232,-83
c6_aggressive_redaction,P0005_D02,0.7236662106703147,-131
c1b_presidio_redaction,P0005_D02,0.2991850989522701,-3
c1_direct_redaction,P0005_D03,0.2974504249291785,-52
c2_consistent_pseudonym,P0005_D03,0.3908205841446454,-39
c3_per_doc_pseudonym,P0005_D03,0.39917695473251025,-29
c4_doc_local_anon,P0005_D03,0.34806629834254144,-34
c5_linkguard,P0005_D03,0.5410292072322671,-39
c6_aggressive_redaction,P0005_D03,0.7547445255474452,-73
c1b_presidio_redaction,P0005_D03,0.45882352941176474,7
c1_direct_redaction,P0005_D04,0.2699228791773779,-52
c2_consistent_pseudonym,P0005_D04,0.28081321473951715,-43
c3_per_doc_pseudonym,P0005_D04,0.2898368883312421,-33
c4_doc_local_anon,P0005_D04,0.32129032258064516,-55
c5_linkguard,P0005_D04,0.5928297055057619,-49
c6_aggressive_redaction,P0005_D04,0.7549295774647887,-120
c1b_presidio_redaction,P0005_D04,0.31076178960096734,-3
c1_direct_redaction,P0006_D01,0.24444444444444446,-53
c2_consistent_pseudonym,P0006_D01,0.22899884925201386,-39
c3_per_doc_pseudonym,P0006_D01,0.24232081911262804,-29
c4_doc_local_anon,P0006_D01,0.24444444444444446,-53
c5_linkguard,P0006_D01,0.29220023282887075,-49
c6_aggressive_redaction,P0006_D01,0.8179581795817958,-95
c1b_presidio_redaction,P0006_D01,0.22860238353196105,15
c1_direct_redaction,P0006_D02,0.27626459143968873,-53
c2_consistent_pseudonym,P0006_D02,0.2636942675159236,-39
c3_per_doc_pseudonym,P0006_D02,0.26792452830188684,-29
c4_doc_local_anon,P0006_D02,0.27626459143968873,-53
c5_linkguard,P0006_D02,0.5896103896103896,-54
c6_aggressive_redaction,P0006_D02,0.7516869095816464,-83
c1b_presidio_redaction,P0006_D02,0.3148371531966224,5
c1_direct_redaction,P0006_D03,0.2939521800281294,-53
c2_consistent_pseudonym,P0006_D03,0.28551724137931034,-39
c3_per_doc_pseudonym,P0006_D03,0.2952380952380952,-29
c4_doc_local_anon,P0006_D03,0.2939521800281294,-53
c5_linkguard,P0006_D03,0.38997214484679665,-46
c6_aggressive_redaction,P0006_D03,0.4566473988439307,-72
c1b_presidio_redaction,P0006_D03,0.43003851091142486,15
c1_direct_redaction,P0006_D04,0.2544802867383512,-53
c2_consistent_pseudonym,P0006_D04,0.23384253819036427,-39
c3_per_doc_pseudonym,P0006_D04,0.20789779326364688,-29
c4_doc_local_anon,P0006_D04,0.2544802867383512,-53
c5_linkguard,P0006_D04,0.3794749403341289,-52
c6_aggressive_redaction,P0006_D04,0.4693877551020408,-106
c1b_presidio_redaction,P0006_D04,0.28044692737430166,5
c1_direct_redaction,P0007_D01,0.2374429223744292,-68
c2_consistent_pseudonym,P0007_D01,0.24608501118568238,-50
c3_per_doc_pseudonym,P0007_D01,0.2566371681415929,-40
c4_doc_local_anon,P0007_D01,0.2747497219132369,-45
c5_linkguard,P0007_D01,0.3789846517119244,-97
c6_aggressive_redaction,P0007_D01,0.6592039800995024,-140
c1b_presidio_redaction,P0007_D01,0.3205128205128205,-8
c1_direct_redaction,P0007_D02,0.2417840375586855,-68
c2_consistent_pseudonym,P0007_D02,0.2878965922444183,-69
c3_per_doc_pseudonym,P0007_D02,0.32171893147502906,-59
c4_doc_local_anon,P0007_D02,0.2417840375586855,-68
c5_linkguard,P0007_D02,0.33009708737864074,-96
c6_aggressive_redaction,P0007_D02,0.519280205655527,-142
c1b_presidio_redaction,P0007_D02,0.30329670329670333,-10
c1_direct_redaction,P0007_D03,0.25245098039215685,-68
c2_consistent_pseudonym,P0007_D03,0.27338129496402874,-50
c3_per_doc_pseudonym,P0007_D03,0.27725118483412325,-40
c4_doc_local_anon,P0007_D03,0.2824791418355185,-45
c5_linkguard,P0007_D03,0.3316708229426434,-82
c6_aggressive_redaction,P0007_D03,0.8036175710594315,-110
c1b_presidio_redaction,P0007_D03,0.41045606229143494,15
c1_direct_redaction,P0007_D04,0.24770642201834858,-68
c2_consistent_pseudonym,P0007_D04,0.2721010332950632,-69
c3_per_doc_pseudonym,P0007_D04,0.28717366628830876,-59
c4_doc_local_anon,P0007_D04,0.24770642201834858,-68
c5_linkguard,P0007_D04,0.5127610208816705,-78
c6_aggressive_redaction,P0007_D04,0.6347381864623244,-157
c1b_presidio_redaction,P0007_D04,0.2924731182795699,-10
c1_direct_redaction,P0008_D01,0.2722513089005235,-52
c2_consistent_pseudonym,P0008_D01,0.2794871794871795,-36
c3_per_doc_pseudonym,P0008_D01,0.28860759493670884,-26
c4_doc_local_anon,P0008_D01,0.3034571062740077,-35
c5_linkguard,P0008_D01,0.5125164690382082,-57
c6_aggressive_redaction,P0008_D01,0.780281690140845,-106
c1b_presidio_redaction,P0008_D01,0.72,34
c1_direct_redaction,P0008_D02,0.2364532019704434,-52
c2_consistent_pseudonym,P0008_D02,0.2691358024691358,-54
c3_per_doc_pseudonym,P0008_D02,0.2804878048780488,-44
c4_doc_local_anon,P0008_D02,0.2364532019704434,-52
c5_linkguard,P0008_D02,0.6614583333333333,-96
c6_aggressive_redaction,P0008_D02,0.825136612021858,-132
c1b_presidio_redaction,P0008_D02,0.33184855233853006,34
c1_direct_redaction,P0008_D03,0.2792553191489362,-52
c2_consistent_pseudonym,P0008_D03,0.28385416666666663,-36
c3_per_doc_pseudonym,P0008_D03,0.2930591259640103,-26
c4_doc_local_anon,P0008_D03,0.31079323797139147,-35
c5_linkguard,P0008_D03,0.46091644204851756,-62
c6_aggressive_redaction,P0008_D03,0.6699576868829338,-95
c1b_presidio_redaction,P0008_D03,0.3535844471445929,19
c1_direct_redaction,P0008_D04,0.2676767676767676,-52
c2_consistent_pseudonym,P0008_D04,0.6177215189873417,-54
c3_per_doc_pseudonym,P0008_D04,0.6225,-44
c4_doc_local_anon,P0008_D04,0.28388746803069054,-62
c5_linkguard,P0008_D04,0.7043701799485862,-66
c6_aggressive_redaction,P0008_D04,0.7266387726638772,-127
c1b_presidio_redaction,P0008_D04,0.3179190751445087,21
c1_direct_redaction,P0009_D01,0.2490974729241877,-51
c2_consistent_pseudonym,P0009_D01,0.23550295857988168,-37
c3_per_doc_pseudonym,P0009_D01,0.2818713450292397,-27
c4_doc_local_anon,P0009_D01,0.2490974729241877,-51
c5_linkguard,P0009_D01,0.2966507177033493,-46
c6_aggressive_redaction,P0009_D01,0.8525,-82
c1b_presidio_redaction,P0009_D01,0.20045819014891175,-9
c1_direct_redaction,P0009_D02,0.27391874180865006,-51
c2_consistent_pseudonym,P0009_D02,0.26126126126126126,-37
c3_per_doc_pseudonym,P0009_D02,0.30876747141041927,-27
