condition,threshold,val_pair_f1,edit_ratio,pair_precision,pair_recall,pair_f1,cluster_ari,cluster_nmi,bcubed_precision,bcubed_recall,bcubed_f1,num_pred_clusters,fixedk_ari,fixedk_nmi,fixedk_bcubed_f1,aux_top1,aux_top3,aux_mrr,attr_exact_recovery,attr_coarse_recovery,domain_acc,issue_acc,fact_preservation,retrieval_recall_at_5,retrieval_mrr
original,0.4778803247858418,0.9750889679715302,0.0,0.9962894248608535,0.9322916666666666,0.9632286995515695,0.9727537881482535,0.9968261847379789,0.9791666666666666,1.0,0.9894736842105264,94.0,1.0,1.0,1.0,0.7083333333333334,0.84375,0.7925016534391535,0.39488636363636365,0.7878787878787878,1.0,1.0,0.6819444444444444,1.0,1.0
c1_direct_redaction,0.4018656126256197,0.3816793893129771,0.24597742097389272,0.1545595054095827,0.3472222222222222,0.21390374331550802,0.01031276759638238,0.30272349219497113,0.058664772727272725,0.7395833333333334,0.10870677383000177,13.0,0.11311163509228392,0.7424225015422531,0.3709233823835834,0.7083333333333334,0.84375,0.7927496693121693,0.39488636363636365,0.7878787878787878,1.0,1.0,0.6819444444444444,1.0,1.0
c1b_presidio_redaction,0.256086249677187,0.31382978723404253,0.3484981242478663,0.08607314370151459,0.4045138888888889,0.1419433445019799,-6.141256671031085e-05,0.11237885367876543,0.06981475069252076,0.91015625,0.12968206536741564,24.0,0.07287680771466766,0.7105422502426462,0.32627486107645554,0.59375,0.8020833333333334,0.7203786375661375,0.33238636363636365,0.7054924242424242,1.0,1.0,0.6819444444444444,1.0,1.0
c2_consistent_pseudonym,0.5169503537567256,0.9750889679715302,0.29876988026123047,1.0,0.9583333333333334,0.9787234042553191,1.0,1.0,1.0,1.0,1.0,96.0,1.0,1.0,1.0,0.4270833333333333,0.6770833333333334,0.5897073412698414,0.2727272727272727,0.6960227272727273,1.0,1.0,0.6791666666666667,1.0,1.0
c3_per_doc_pseudonym,0.08935125344635866,0.34173669467787116,0.3146802328667641,0.0916563912864776,0.3871527777777778,0.14822200066467264,0.00020139376439844717,0.12953799262784058,0.027813732741617355,0.83984375,0.05384426475158727,8.0,0.07185565498019657,0.7217875446876613,0.32494142581199026,0.4270833333333333,0.6770833333333334,0.5897073412698414,0.2727272727272727,0.6960227272727273,1.0,1.0,0.6791666666666667,1.0,1.0
c4_doc_local_anon,0.35071193989076177,0.33136094674556216,0.2878593370619645,0.09671921602045164,0.3940972222222222,0.15531987683886417,0.0,0.0,0.010416666666666666,1.0,0.020618556701030924,1.0,0.08869486228705845,0.7267977503473062,0.35029079304390837,0.6041666666666666,0.84375,0.7371941137566139,0.3039772727272727,0.7878787878787878,1.0,1.0,0.6819444444444444,1.0,1.0
c5_linkguard,0.3924967438769916,0.08172531214528944,0.53511621320285,0.009804248507686665,0.5104166666666666,0.019238949056048164,7.847550861121566e-06,0.083970093133234,0.02554114438254411,0.90625,0.04968208216234733,7.0,-0.010073194553752822,0.6591801821263873,0.25,0.041666666666666664,0.2604166666666667,0.2554522156084656,0.0,0.11174242424242424,1.0,1.0,0.695138888888889,1.0,1.0
c6_aggressive_redaction,0.9029325082213698,0.060156571899464356,0.6806139285870887,0.007913010712170964,0.5104166666666666,0.015584415584415584,0.0,0.0,0.010416666666666666,1.0,0.020618556701030924,1.0,-0.012326524104180593,0.5900784225252239,0.25,0.052083333333333336,0.3125,0.2756944444444444,0.0,0.0,1.0,0.35,0.3888888888888889,0.3125,0.16375681619134083
