persona_id,risk_tier,rank,top1,top3,score_true,top_candidate,condition
P0001,T2,1,1,1,0.05329902648684211,P0001,original
P0002,T3,1,1,1,0.19836109719322198,P0002,original
P0003,T1,3,0,1,0.02056880796468974,P0100,original
P0004,T2,1,1,1,0.03587140137746992,P0004,original
P0006,T1,8,0,0,0.008343676714683283,P0050,original
P0007,T2,1,1,1,0.048311421745843214,P0007,original
P0008,T3,1,1,1,0.18206664812911463,P0008,original
P0009,T1,1,1,1,0.018090767978079007,P0009,original
P0011,T3,1,1,1,0.19401808791773967,P0011,original
P0012,T1,6,0,0,0.004612960182386147,P0082,original
P0013,T2,2,0,1,0.036300587775704066,P0077,original
P0014,T3,1,1,1,0.17524057768652143,P0014,original
P0016,T2,1,1,1,0.059590681911091035,P0016,original
P0017,T3,1,1,1,0.16549031107436218,P0017,original
P0018,T1,3,0,1,0.007406320215937068,P0010,original
P0019,T2,1,1,1,0.03515169638830258,P0019,original
P0021,T1,2,0,1,0.01342410698138895,P0061,original
P0022,T2,1,1,1,0.035952617076102186,P0022,original
P0023,T3,1,1,1,0.17658920836469996,P0023,original
P0024,T1,1,1,1,0.02058703261789327,P0024,original
P0026,T3,1,1,1,0.13974739753014642,P0026,original
P0027,T1,9,0,0,0.003225534365675226,P0036,original
P0028,T2,1,1,1,0.035169709173822346,P0028,original
P0029,T3,1,1,1,0.20441462689844436,P0029,original
P0031,T2,1,1,1,0.047771538523053776,P0031,original
P0032,T3,1,1,1,0.17158866466322847,P0032,original
P0033,T1,1,1,1,0.03103083804619691,P0033,original
P0034,T2,1,1,1,0.033690172966676445,P0034,original
P0036,T1,2,0,1,0.015429634348176662,P0009,original
P0037,T2,1,1,1,0.034395830698609194,P0037,original
P0038,T3,1,1,1,0.20404802536520067,P0038,original
P0039,T1,2,0,1,0.019167845823945533,P0051,original
P0041,T3,1,1,1,0.19189046378729993,P0041,original
P0042,T1,2,0,1,0.009780123272585277,P0022,original
P0043,T2,1,1,1,0.03512880867148487,P0043,original
P0044,T3,1,1,1,0.17419826367094346,P0044,original
P0046,T2,1,1,1,0.04949718078910684,P0046,original
P0047,T3,1,1,1,0.2138875726366325,P0047,original
P0048,T1,4,0,0,0.00983033345760362,P0022,original
P0049,T2,1,1,1,0.03360643780718894,P0049,original
P0051,T1,1,1,1,0.024255339722616003,P0051,original
P0052,T2,1,1,1,0.040018197392910515,P0052,original
P0053,T3,1,1,1,0.19288292027439918,P0053,original
P0054,T1,1,1,1,0.017734915378189123,P0054,original
P0056,T3,1,1,1,0.15537811490114214,P0056,original
P0057,T1,5,0,0,0.013731660837480024,P0033,original
P0058,T2,1,1,1,0.05299952553578453,P0058,original
P0059,T3,1,1,1,0.14463265350567264,P0059,original
P0061,T2,1,1,1,0.038154642839055966,P0061,original
P0062,T3,1,1,1,0.16863710260249817,P0062,original
P0063,T1,2,0,1,0.019258803116844088,P0100,original
P0064,T2,1,1,1,0.05568222565340973,P0064,original
P0066,T1,5,0,0,0.008151303647804583,P0095,original
P0067,T2,2,0,1,0.02977417979718054,P0109,original
P0068,T3,1,1,1,0.16693285289174697,P0068,original
P0069,T1,5,0,0,0.007133733763891795,P0075,original
P0071,T3,1,1,1,0.1488278417495482,P0071,original
P0072,T1,3,0,1,0.011455286076906691,P0050,original
P0073,T2,1,1,1,0.03830924654491179,P0073,original
P0074,T3,1,1,1,0.20084577002573742,P0074,original
P0076,T2,2,0,1,0.025828621898414564,P0020,original
P0077,T3,1,1,1,0.17156885989560777,P0077,original
P0078,T1,4,0,0,0.009979987636859285,P0070,original
P0079,T2,1,1,1,0.03273775467385045,P0079,original
P0081,T1,6,0,0,0.006194041397181238,P0050,original
P0082,T2,1,1,1,0.03785570262123236,P0082,original
P0083,T3,1,1,1,0.1853176280998427,P0083,original
P0084,T1,3,0,1,0.010509956114997415,P0115,original
P0086,T3,1,1,1,0.177459330964235,P0086,original
P0087,T1,1,1,1,0.02141622655258528,P0087,original
P0088,T2,1,1,1,0.04583619026443923,P0088,original
P0089,T3,1,1,1,0.16861770900404804,P0089,original
P0091,T2,2,0,1,0.02946119358631128,P0082,original
P0092,T3,1,1,1,0.17266556927140803,P0092,original
P0093,T1,7,0,0,0.004708159207750712,P0111,original
P0094,T2,1,1,1,0.04160654764129118,P0094,original
P0096,T1,1,1,1,0.018213346205203883,P0096,original
P0097,T2,1,1,1,0.03929950040733942,P0097,original
P0098,T3,1,1,1,0.18226466048325018,P0098,original
