persona_id,risk_tier,rank,top1,top3,score_true,top_candidate,condition
P0001,T2,1,1,1,0.05367373246747476,P0001,original
P0002,T3,1,1,1,0.20559702992389906,P0002,original
P0003,T1,5,0,0,0.007605710713012491,P0119,original
P0004,T2,1,1,1,0.04717982629391587,P0004,original
P0006,T1,1,1,1,0.02019430636988719,P0006,original
P0007,T2,2,0,1,0.03184248308186362,P0001,original
P0008,T3,1,1,1,0.19121022212041797,P0008,original
P0009,T1,2,0,1,0.01378616850881376,P0008,original
P0011,T3,1,1,1,0.18586739767585206,P0011,original
P0012,T1,3,0,1,0.011410636902139889,P0001,original
P0013,T2,1,1,1,0.03868665669834308,P0013,original
P0014,T3,1,1,1,0.18708088367431058,P0014,original
P0016,T2,1,1,1,0.03486689038909583,P0016,original
P0017,T3,1,1,1,0.16417149681625734,P0017,original
P0018,T1,2,0,1,0.009181186129891501,P0001,original
P0019,T2,1,1,1,0.04639057750772696,P0019,original
P0021,T1,1,1,1,0.01376700550013633,P0021,original
P0022,T2,1,1,1,0.050057476255860656,P0022,original
P0023,T3,1,1,1,0.20046222388173365,P0023,original
P0024,T1,1,1,1,0.024336733505083762,P0024,original
P0026,T3,1,1,1,0.14306513574747845,P0026,original
P0027,T1,1,1,1,0.01887414539910099,P0027,original
P0028,T2,2,0,1,0.029167227311040073,P0092,original
P0029,T3,1,1,1,0.16441295214095378,P0029,original
P0031,T2,1,1,1,0.040687381197411075,P0031,original
P0032,T3,1,1,1,0.17472444658205358,P0032,original
P0033,T1,1,1,1,0.013778512995450631,P0033,original
P0034,T2,1,1,1,0.03608520474694339,P0034,original
P0036,T1,2,0,1,0.013811541623403336,P0095,original
P0037,T2,1,1,1,0.049799478872015863,P0037,original
P0038,T3,1,1,1,0.15865549882989535,P0038,original
P0039,T1,6,0,0,0.010668680492066696,P0101,original
P0041,T3,1,1,1,0.15562261518726397,P0041,original
P0042,T1,3,0,1,0.01481992753687407,P0054,original
P0043,T2,1,1,1,0.05651065075104469,P0043,original
P0044,T3,1,1,1,0.17427812760599568,P0044,original
P0046,T2,1,1,1,0.03412665524045446,P0046,original
P0047,T3,1,1,1,0.18617771641751166,P0047,original
P0048,T1,1,1,1,0.019039176444942487,P0048,original
P0049,T2,1,1,1,0.045219537062313776,P0049,original
P0051,T1,7,0,0,0.007148113688445496,P0067,original
P0052,T2,1,1,1,0.030468173382290763,P0052,original
P0053,T3,1,1,1,0.18033001687079858,P0053,original
P0054,T1,1,1,1,0.017974040822983196,P0054,original
P0056,T3,1,1,1,0.15070490518975954,P0056,original
P0057,T1,1,1,1,0.014711184587750628,P0057,original
P0058,T2,1,1,1,0.04101529979518547,P0058,original
P0059,T3,1,1,1,0.14807017771540917,P0059,original
P0061,T2,1,1,1,0.06443821636762141,P0061,original
P0062,T3,1,1,1,0.19141906933522318,P0062,original
P0063,T1,4,0,0,0.011331036574862978,P0101,original
P0064,T2,1,1,1,0.04463028061068484,P0064,original
P0066,T1,3,0,1,0.01373567158228787,P0092,original
P0067,T2,1,1,1,0.06778316617969021,P0067,original
P0068,T3,1,1,1,0.1718640648867909,P0068,original
P0069,T1,1,1,1,0.011768339950329816,P0069,original
P0071,T3,1,1,1,0.20277137083641206,P0071,original
P0072,T1,5,0,0,0.006556204306285279,P0097,original
P0073,T2,1,1,1,0.04922519291098963,P0073,original
P0074,T3,1,1,1,0.17534571095434587,P0074,original
P0076,T2,1,1,1,0.04552699292950793,P0076,original
