condition,doc_id,edit_ratio,char_delta
c1_direct_redaction,P0000_D01,0.23274853801169593,-47
c2_consistent_pseudonym,P0000_D01,0.21518987341772156,-33
c3_per_doc_pseudonym,P0000_D01,0.21956769055745162,-23
c4_doc_local_anon,P0000_D01,0.23274853801169593,-47
c5_linkguard,P0000_D01,0.7240566037735849,-54
c6_aggressive_redaction,P0000_D01,0.8469135802469135,-92
c1b_presidio_redaction,P0000_D01,0.30794341675734493,17
c1_direct_redaction,P0000_D02,0.2700922266139657,-47
c2_consistent_pseudonym,P0000_D02,0.24967658473479948,-33
c3_per_doc_pseudonym,P0000_D02,0.26181353767560667,-23
c4_doc_local_anon,P0000_D02,0.2700922266139657,-47
c5_linkguard,P0000_D02,0.5847568988173456,-45
c6_aggressive_redaction,P0000_D02,0.7240437158469946,-74
c1b_presidio_redaction,P0000_D02,0.30966952264381886,11
c1_direct_redaction,P0000_D03,0.2810271041369472,-47
c2_consistent_pseudonym,P0000_D03,0.26433566433566436,-33
c3_per_doc_pseudonym,P0000_D03,0.27724137931034487,-23
c4_doc_local_anon,P0000_D03,0.2810271041369472,-47
c5_linkguard,P0000_D03,0.3210227272727273,-44
c6_aggressive_redaction,P0000_D03,0.7631578947368421,-64
c1b_presidio_redaction,P0000_D03,0.37254901960784315,17
c1_direct_redaction,P0000_D04,0.22880371660859466,-47
c2_consistent_pseudonym,P0000_D04,0.2182857142857143,-33
c3_per_doc_pseudonym,P0000_D04,0.2542372881355932,-23
c4_doc_local_anon,P0000_D04,0.22880371660859466,-47
c5_linkguard,P0000_D04,0.7199533255542591,-51
c6_aggressive_redaction,P0000_D04,0.4716981132075472,-113
c1b_presidio_redaction,P0000_D04,0.2774755168661589,11
c1_direct_redaction,P0001_D01,0.14084507042253525,-46
c2_consistent_pseudonym,P0001_D01,0.6346820809248555,-33
c3_per_doc_pseudonym,P0001_D01,0.6342857142857143,-23
c4_doc_local_anon,P0001_D01,0.6351039260969977,-32
c5_linkguard,P0001_D01,0.558252427184466,-74
c6_aggressive_redaction,P0001_D01,0.7029449423815621,-117
c1b_presidio_redaction,P0001_D01,0.30760749724366043,9
c1_direct_redaction,P0001_D02,0.15037593984962405,-46
c2_consistent_pseudonym,P0001_D02,0.25935162094763087,-42
c3_per_doc_pseudonym,P0001_D02,0.26847290640394084,-32
c4_doc_local_anon,P0001_D02,0.15037593984962405,-46
c5_linkguard,P0001_D02,0.5674300254452926,-58
c6_aggressive_redaction,P0001_D02,0.4972972972972973,-104
c1b_presidio_redaction,P0001_D02,0.2953736654804271,-1
c1_direct_redaction,P0001_D03,0.1542416452442159,-46
c2_consistent_pseudonym,P0001_D03,0.2743362831858407,-33
c3_per_doc_pseudonym,P0001_D03,0.8526841448189763,-23
c4_doc_local_anon,P0001_D03,0.2752525252525253,-32
c5_linkguard,P0001_D03,0.47159841479524434,-67
c6_aggressive_redaction,P0001_D03,0.7956989247311828,-80
c1b_presidio_redaction,P0001_D03,0.4430082256169212,27
c1_direct_redaction,P0001_D04,0.22141119221411187,-46
c2_consistent_pseudonym,P0001_D04,0.24697336561743344,-42
c3_per_doc_pseudonym,P0001_D04,0.24880382775119614,-32
c4_doc_local_anon,P0001_D04,0.22141119221411187,-46
c5_linkguard,P0001_D04,0.6361416361416361,-49
c6_aggressive_redaction,P0001_D04,0.5133689839572193,-120
c1b_presidio_redaction,P0001_D04,0.28950403690888116,-1
c1_direct_redaction,P0002_D01,0.25205158264947247,-61
c2_consistent_pseudonym,P0002_D01,0.2543153049482163,-45
c3_per_doc_pseudonym,P0002_D01,0.25824800910125145,-35
c4_doc_local_anon,P0002_D01,0.2984054669703873,-36
c5_linkguard,P0002_D01,0.6448828606658447,-103
c6_aggressive_redaction,P0002_D01,0.6157894736842106,-154
c1b_presidio_redaction,P0002_D01,0.3151581243184297,3
c1_direct_redaction,P0002_D02,0.2508751458576429,-61
c2_consistent_pseudonym,P0002_D02,0.5971896955503513,-64
c3_per_doc_pseudonym,P0002_D02,0.5949074074074074,-54
c4_doc_local_anon,P0002_D02,0.2508751458576429,-61
c5_linkguard,P0002_D02,0.6428571428571428,-106
c6_aggressive_redaction,P0002_D02,0.831357048748353,-159
c1b_presidio_redaction,P0002_D02,0.3181324647122693,3
c1_direct_redaction,P0002_D03,0.29161118508655126,-61
c2_consistent_pseudonym,P0002_D03,0.288135593220339,-45
c3_per_doc_pseudonym,P0002_D03,0.3307593307593307,-35
c4_doc_local_anon,P0002_D03,0.3427835051546392,-36
c5_linkguard,P0002_D03,0.46308724832214765,-67
c6_aggressive_redaction,P0002_D03,0.6741573033707865,-100
c1b_presidio_redaction,P0002_D03,0.35950920245398776,3
c1_direct_redaction,P0002_D04,0.256140350877193,-61
c2_consistent_pseudonym,P0002_D04,0.2816901408450704,-64
c3_per_doc_pseudonym,P0002_D04,0.28770301624129935,-54
c4_doc_local_anon,P0002_D04,0.26800472255017704,-69
c5_linkguard,P0002_D04,0.71007371007371,-102
c6_aggressive_redaction,P0002_D04,0.7290836653386454,-163
c1b_presidio_redaction,P0002_D04,0.32752992383025026,3
c1_direct_redaction,P0003_D01,0.15852205005959474,-59
c2_consistent_pseudonym,P0003_D01,0.160609613130129,-45
c3_per_doc_pseudonym,P0003_D01,0.21205098493626884,-35
c4_doc_local_anon,P0003_D01,0.15852205005959474,-59
c5_linkguard,P0003_D01,0.20759193357058126,-55
c6_aggressive_redaction,P0003_D01,0.7521685254027262,-91
c1b_presidio_redaction,P0003_D01,0.23925027563395806,9
c1_direct_redaction,P0003_D02,0.29161118508655126,-59
c2_consistent_pseudonym,P0003_D02,0.273202614379085,-45
c3_per_doc_pseudonym,P0003_D02,0.28774193548387095,-35
c4_doc_local_anon,P0003_D02,0.29161118508655126,-59
c5_linkguard,P0003_D02,0.598937583001328,-57
c6_aggressive_redaction,P0003_D02,0.7411444141689374,-76
c1b_presidio_redaction,P0003_D02,0.23609394313967857,-1
c1_direct_redaction,P0003_D03,0.29645390070921984,-59
c2_consistent_pseudonym,P0003_D03,0.28233657858136296,-45
c3_per_doc_pseudonym,P0003_D03,0.2976680384087792,-35
c4_doc_local_anon,P0003_D03,0.29645390070921984,-59
c5_linkguard,P0003_D03,0.3932584269662921,-52
c6_aggressive_redaction,P0003_D03,0.7658959537572254,-72
c1b_presidio_redaction,P0003_D03,0.4411384217335058,9
c1_direct_redaction,P0003_D04,0.2707045735475896,-59
c2_consistent_pseudonym,P0003_D04,0.2539489671931956,-45
c3_per_doc_pseudonym,P0003_D04,0.26770708283313327,-35
c4_doc_local_anon,P0003_D04,0.2707045735475896,-59
c5_linkguard,P0003_D04,0.6682926829268292,-48
c6_aggressive_redaction,P0003_D04,0.751937984496124,-94
c1b_presidio_redaction,P0003_D04,0.29642445213379465,-1
c1_direct_redaction,P0004_D01,0.23963133640552992,-52
c2_consistent_pseudonym,P0004_D01,0.21266968325791857,-36
c3_per_doc_pseudonym,P0004_D01,0.23042505592841167,-26
c4_doc_local_anon,P0004_D01,0.27109111361079863,-31
c5_linkguard,P0004_D01,0.5531400966183575,-92
c6_aggressive_redaction,P0004_D01,0.6872635561160152,-127
c1b_presidio_redaction,P0004_D01,0.33690987124463523,12
c1_direct_redaction,P0004_D02,0.2518159806295399,-52
c2_consistent_pseudonym,P0004_D02,0.470873786407767,-54
c3_per_doc_pseudonym,P0004_D02,0.47961630695443647,-44
c4_doc_local_anon,P0004_D02,0.2518159806295399,-52
c5_linkguard,P0004_D02,0.6923076923076923,-85
c6_aggressive_redaction,P0004_D02,0.5323645970937914,-121
c1b_presidio_redaction,P0004_D02,0.2816419612314709,-1
c1_direct_redaction,P0004_D03,0.26262626262626265,-52
c2_consistent_pseudonym,P0004_D03,0.18316831683168322,-36
c3_per_doc_pseudonym,P0004_D03,0.19559902200489,-26
c4_doc_local_anon,P0004_D03,0.2964329643296433,-31
c5_linkguard,P0004_D03,0.49350649350649356,-74
c6_aggressive_redaction,P0004_D03,0.8090185676392573,-90
c1b_presidio_redaction,P0004_D03,0.4110854503464203,22
c1_direct_redaction,P0004_D04,0.24703087885985753,-52
c2_consistent_pseudonym,P0004_D04,0.2523809523809524,-54
c3_per_doc_pseudonym,P0004_D04,0.28470588235294114,-44
c4_doc_local_anon,P0004_D04,0.24703087885985753,-52
c5_linkguard,P0004_D04,0.6053593179049939,-73
c6_aggressive_redaction,P0004_D04,0.5368421052631579,-134
c1b_presidio_redaction,P0004_D04,0.276595744680851,-1
c1_direct_redaction,P0005_D01,0.24940047961630696,-52
c2_consistent_pseudonym,P0005_D01,0.2293144208037825,-40
c3_per_doc_pseudonym,P0005_D01,0.24766355140186913,-30
c4_doc_local_anon,P0005_D01,0.2845336481700118,-39
c5_linkguard,P0005_D01,0.6852540272614622,-79
c6_aggressive_redaction,P0005_D01,0.6487935656836461,-140
c1b_presidio_redaction,P0005_D01,0.30521642619311873,15
c1_direct_redaction,P0005_D02,0.24586288416075652,-52
c2_consistent_pseudonym,P0005_D02,0.5722679200940071,-47
c3_per_doc_pseudonym,P0005_D02,0.5865272938443671,-37
c4_doc_local_anon,P0005_D02,0.24586288416075652,-52
c5_linkguard,P0005_D02,0.6704402515723271,-103
c6_aggressive_redaction,P0005_D02,0.8130841121495327,-149
c1b_presidio_redaction,P0005_D02,0.2977099236641222,19
c1_direct_redaction,P0005_D03,0.27968337730870707,-52
c2_consistent_pseudonym,P0005_D03,0.32987012987012987,-40
c3_per_doc_pseudonym,P0005_D03,0.3384615384615385,-30
c4_doc_local_anon,P0005_D03,0.3592736705577172,-39
c5_linkguard,P0005_D03,0.5194630872483221,-65
c6_aggressive_redaction,P0005_D03,0.8143459915611815,-99
c1b_presidio_redaction,P0005_D03,0.37696969696969695,15
c1_direct_redaction,P0005_D04,0.25542168674698795,-52
c2_consistent_pseudonym,P0005_D04,0.25029940119760474,-47
