condition,risk_tier,pair_precision,pair_recall,pair_f1,fixedk_ari,fixedk_nmi,fixedk_bcubed_f1,attr_exact_recovery,attr_coarse_recovery,aux_top1,aux_top3,aux_mrr,n_personas
original,T1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.36363636363636365,0.375,0.65625,0.559970238095238,32
original,T2,1.0,0.9791666666666666,0.9894736842105263,1.0,1.0,1.0,0.18181818181818182,1.0,0.90625,1.0,0.953125,32
original,T3,1.0,0.9375,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32
c1_direct_redaction,T1,0.11257309941520467,0.4010416666666667,0.17579908675799086,0.09543639966684855,0.6457018413658108,0.3562370345305561,0.0,0.36363636363636365,0.375,0.65625,0.5615327380952381,32
c1_direct_redaction,T2,0.24034334763948498,0.2916666666666667,0.2635294117647059,0.10702218975436033,0.6694254031060567,0.3540234087846116,0.18181818181818182,1.0,0.90625,1.0,0.953125,32
c1_direct_redaction,T3,0.31155778894472363,0.3229166666666667,0.3171355498721228,0.08816240250747139,0.6567505671938424,0.34490019818799544,0.9943181818181818,0.9943181818181818,1.0,1.0,1.0,32
c1b_presidio_redaction,T1,0.10823170731707317,0.3697916666666667,0.16745283018867924,0.0970373708851096,0.6183098276839941,0.3920488543106716,0.0,0.29261363636363635,0.28125,0.5625,0.49263392857142857,32
c1b_presidio_redaction,T2,0.09815242494226328,0.4427083333333333,0.16068052930056712,0.03705656672182119,0.6193805845130725,0.3067016268421372,0.12215909090909091,0.9431818181818182,0.75,1.0,0.8697916666666666,32
c1b_presidio_redaction,T3,0.09196891191709844,0.3697916666666667,0.14730290456431536,0.06287034621548093,0.6428699961032937,0.32496109401831713,0.8721590909090909,0.8721590909090909,1.0,1.0,1.0,32
c2_consistent_pseudonym,T1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.36363636363636365,0.375,0.65625,0.5615327380952381,32
c2_consistent_pseudonym,T2,1.0,0.9791666666666666,0.9894736842105263,1.0,1.0,1.0,0.0,0.9090909090909091,0.28125,0.71875,0.508234126984127,32
c2_consistent_pseudonym,T3,1.0,0.9375,0.967741935483871,1.0,1.0,1.0,0.8125,0.8125,1.0,1.0,1.0,32
c3_per_doc_pseudonym,T1,0.047619047619047616,0.09375,0.06315789473684211,0.038608895222935834,0.6234164015249422,0.3022814967695621,0.0,0.36363636363636365,0.375,0.65625,0.5615327380952381,32
c3_per_doc_pseudonym,T2,0.11866501854140915,0.5,0.1918081918081918,0.10984066781936155,0.6719896897495576,0.3595984567342506,0.0,0.9090909090909091,0.28125,0.71875,0.508234126984127,32
c3_per_doc_pseudonym,T3,0.13716814159292035,0.484375,0.21379310344827587,0.08208215425100485,0.6516479687143464,0.34659090909090906,0.8125,0.8125,1.0,1.0,1.0,32
c4_doc_local_anon,T1,0.11741424802110818,0.4635416666666667,0.18736842105263157,0.08491126513824358,0.6391903720286685,0.34469642665137445,0.0,0.36363636363636365,0.375,0.65625,0.5615327380952381,32
c4_doc_local_anon,T2,0.14099783080260303,0.3385416666666667,0.1990811638591118,0.04504423667067459,0.6251151724142804,0.31990047944210376,0.09090909090909091,1.0,0.8125,1.0,0.90625,32
c4_doc_local_anon,T3,0.15649867374005305,0.3072916666666667,0.20738137082601055,0.09882312218760816,0.6626854062843572,0.36495689298183026,0.8153409090909091,0.9943181818181818,1.0,1.0,1.0,32
c5_linkguard,T1,0.023622047244094488,1.0,0.046153846153846156,-0.029701504810459665,0.5550350972030499,0.25,0.0,0.0,0.03125,0.1875,0.2435515873015873,32
c5_linkguard,T2,0.024213075060532687,0.15625,0.041928721174004195,-0.031947949641862025,0.5433285791483209,0.25,0.0,0.17897727272727273,0.0625,0.21875,0.2758308531746032,32
c5_linkguard,T3,0.020833333333333332,0.13541666666666666,0.03611111111111111,-0.030643897853673822,0.5485943822692442,0.25,0.002840909090909091,0.17045454545454544,0.03125,0.28125,0.24730902777777775,32
c6_aggressive_redaction,T1,0.021052631578947368,0.6666666666666666,0.04081632653061224,-0.03644740988665877,0.4772252122966605,0.25,0.0,0.0,0.09375,0.40625,0.3271825396825397,32
c6_aggressive_redaction,T2,0.018282312925170068,0.4479166666666667,0.035130718954248366,-0.03850243848777089,0.43749984481805454,0.25,0.0,0.0,0.0,0.3125,0.2544518849206349,32
c6_aggressive_redaction,T3,0.019706590759798553,0.46875,0.03782307207396512,-0.0403215301032176,0.40374526101713715,0.25,0.0,0.0,0.03125,0.1875,0.22924107142857142,32
