condition,threshold,val_pair_f1,edit_ratio,pair_precision,pair_recall,pair_f1,cluster_ari,cluster_nmi,bcubed_precision,bcubed_recall,bcubed_f1,num_pred_clusters,fixedk_ari,fixedk_nmi,fixedk_bcubed_f1,aux_top1,aux_top3,aux_mrr,attr_exact_recovery,attr_coarse_recovery,domain_acc,issue_acc,fact_preservation,retrieval_recall_at_5,retrieval_mrr
original,0.46821863359722715,0.9750889679715302,0.0,1.0,0.9722222222222222,0.9859154929577465,1.0,1.0,1.0,1.0,1.0,96.0,1.0,1.0,1.0,0.7604166666666666,0.8854166666666666,0.8376984126984125,0.3939393939393939,0.7878787878787878,1.0,1.0,0.6826388888888888,1.0,1.0
c1_direct_redaction,0.4044849397014091,0.411522633744856,0.24545498774475588,0.1649746192893401,0.3385416666666667,0.22184300341296928,0.009981698671220299,0.29861849367949234,0.05344012605042017,0.7369791666666666,0.09965409479775189,13.0,0.12050178197933782,0.7469422954865661,0.37481244956308235,0.7604166666666666,0.8854166666666666,0.838219246031746,0.39204545454545453,0.7859848484848485,1.0,1.0,0.6826388888888888,1.0,1.0
c1b_presidio_redaction,0.26926418437105093,0.3510971786833856,0.3554592352441246,0.089652448657188,0.3940972222222222,0.14607464607464607,-7.36286510351677e-05,0.12120672974396432,0.07497678737233053,0.90234375,0.13844963426717977,26.0,0.07903761288647822,0.7162131252279942,0.3275477262030827,0.6770833333333334,0.8541666666666666,0.7874751984126984,0.3314393939393939,0.7026515151515151,1.0,1.0,0.6826388888888888,1.0,1.0
c2_consistent_pseudonym,0.5200833549242111,0.9750889679715302,0.2906949493644195,1.0,0.9722222222222222,0.9859154929577465,1.0,1.0,1.0,1.0,1.0,96.0,1.0,1.0,1.0,0.5520833333333334,0.7916666666666666,0.6899222883597883,0.2708333333333333,0.6950757575757576,1.0,1.0,0.6819444444444444,1.0,1.0
c3_per_doc_pseudonym,0.09988911615279852,0.37722419928825623,0.30351966136738373,0.10826359832635983,0.359375,0.16639871382636656,0.00029676666041254546,0.15949689776242382,0.03816316316316316,0.8255208333333334,0.07295373396957046,12.0,0.08647205411178355,0.7307682498836322,0.3299494124610865,0.5520833333333334,0.7916666666666666,0.6899222883597883,0.2708333333333333,0.6950757575757576,1.0,1.0,0.6819444444444444,1.0,1.0
c4_doc_local_anon,0.36901252426737063,0.38434163701067614,0.2799626980556476,0.10196266156055529,0.3697916666666667,0.1598499061913696,-0.0002706454073603858,0.05050581503091069,0.017470238095238098,0.8671875,0.03425047099194268,4.0,0.1033528483569221,0.7348121885989239,0.35354796340224814,0.7291666666666666,0.8854166666666666,0.822594246031746,0.3020833333333333,0.7859848484848485,1.0,1.0,0.6826388888888888,1.0,1.0
c5_linkguard,0.58858705422232,0.09142857142857143,0.5352102021850769,0.010903015914886134,0.4305555555555556,0.021267472772489495,0.005272369818863993,0.30414079337089533,0.04854825647865854,0.5729166666666666,0.0895114245015155,14.0,-0.010388661877388605,0.653749793962094,0.25,0.041666666666666664,0.22916666666666666,0.2555638227513228,0.000946969696969697,0.11647727272727272,1.0,1.0,0.6923611111111112,1.0,1.0
c6_aggressive_redaction,0.9028050387891932,0.06239737274220033,0.6856222660528505,0.008250108554059922,0.5277777777777778,0.016246259085079092,0.0,0.0,0.010416666666666666,1.0,0.020618556701030924,1.0,-0.012580909836812836,0.5833646134926347,0.25,0.041666666666666664,0.3020833333333333,0.270291832010582,0.0,0.0,1.0,0.31875,0.3881944444444444,0.33125,0.20443612479518708
