condition,risk_tier,pair_precision,pair_recall,pair_f1,fixedk_ari,fixedk_nmi,fixedk_bcubed_f1,attr_exact_recovery,attr_coarse_recovery,aux_top1,aux_top3,aux_mrr,n_personas,ablation,label
ca_direct_targetk_suppression,T1,0.023622047244094488,1.0,0.046153846153846156,-0.03057180600113229,0.5477973489434361,0.25,0.0,0.0,0.03125,0.1875,0.23138640873015873,32,direct_targetk_suppression,Target-k suppression
ca_direct_targetk_suppression,T2,0.015374759769378604,0.125,0.027381631488876214,-0.028483663781066742,0.5653404937525666,0.25,0.0,0.16193181818181818,0.0,0.28125,0.22684771825396827,32,direct_targetk_suppression,Target-k suppression
ca_direct_targetk_suppression,T3,0.01376421304608019,0.11979166666666667,0.024691358024691357,-0.03130245429388014,0.541437489000442,0.25,0.13352272727272727,0.13920454545454544,0.3125,0.59375,0.5317708333333333,32,direct_targetk_suppression,Target-k suppression
ca_global_l1_generalization,T1,0.1010752688172043,0.4895833333333333,0.16755793226381463,0.0311877699825373,0.5997408892987025,0.299125570280252,0.0,0.36079545454545453,0.15625,0.53125,0.39387400793650795,32,global_l1_generalization,Global L1 generalization
ca_global_l1_generalization,T2,0.14864864864864866,0.34375,0.20754716981132076,0.05180415680663328,0.6308591400422972,0.31701890072170397,0.0,1.0,0.1875,0.53125,0.41795634920634916,32,global_l1_generalization,Global L1 generalization
ca_global_l1_generalization,T3,0.15402843601895735,0.3385416666666667,0.21172638436482086,-0.004637776498643204,0.5813752112964227,0.2771802033011272,0.0,1.0,0.25,0.65625,0.5071180555555556,32,global_l1_generalization,Global L1 generalization
ca_shuffled_corpus_stats,T1,0.023622047244094488,1.0,0.046153846153846156,-0.03057180600113229,0.5477973489434362,0.25,0.0,0.0,0.03125,0.1875,0.23138640873015873,32,shuffled_corpus_stats,Shuffled corpus stats
ca_shuffled_corpus_stats,T2,0.02358490566037736,0.3385416666666667,0.044097693351424695,-0.027601505536665637,0.5754685111970528,0.25,0.0,0.17045454545454544,0.0,0.28125,0.2246651785714286,32,shuffled_corpus_stats,Shuffled corpus stats
ca_shuffled_corpus_stats,T3,0.023421992854307266,0.3072916666666667,0.04352637403172261,-0.02985853905268482,0.5553131218861923,0.25,0.0,0.16193181818181818,0.09375,0.3125,0.307093253968254,32,shuffled_corpus_stats,Shuffled corpus stats
ca_true_corpus_linkguard,T1,0.023622047244094488,1.0,0.046153846153846156,-0.03057180600113229,0.5477973489434362,0.25,0.0,0.0,0.03125,0.1875,0.23138640873015873,32,true_corpus_linkguard,True corpus LinkGuard
ca_true_corpus_linkguard,T2,0.019052271617000488,0.203125,0.034836980794997766,-0.02900524273166746,0.5653634427154297,0.25,0.0,0.17613636363636365,0.0,0.28125,0.22831101190476188,32,true_corpus_linkguard,True corpus LinkGuard
ca_true_corpus_linkguard,T3,0.023899848254931716,0.328125,0.04455445544554455,-0.03049916332522969,0.5470210503542731,0.25,0.0,0.1590909090909091,0.09375,0.3125,0.30665922619047614,32,true_corpus_linkguard,True corpus LinkGuard
