task,condition,persona_id,risk_tier,retrieval_hit_at_k,target_docs_at_k,cache_key,cached,input_chars,max_output_tokens,reasoning_effort,text_format,text_verbosity
rag_generation::c1_direct_redaction,c1_direct_redaction,P0017,T3,1,3,e97b83476941e06a20f9e2a0505f22a929f25fae2fc980f006772d179ac49981,True,4276,250,none,json_object,low
rag_generation::c1_direct_redaction,c1_direct_redaction,P0023,T3,1,4,e9357a45c264e4460a325ddaf75ccaf0b4e55ad9838b4d5072f535c09c81bf0b,True,4185,250,none,json_object,low
rag_generation::c1b_presidio_redaction,c1b_presidio_redaction,P0017,T3,1,3,ca319b7419a01ebca893497994875f242cf5c13c47e0d4ef6ae9a4f4f0903071,True,4631,250,none,json_object,low
rag_generation::c1b_presidio_redaction,c1b_presidio_redaction,P0023,T3,1,4,94356a1e2117a53bb0aec11d3f4a88fb6063e792f8bdfa8f6215b404a0ac792c,True,4537,250,none,json_object,low
rag_generation::c4_doc_local_anon,c4_doc_local_anon,P0017,T3,1,4,3b0fb3a6a622282ff7a34f3ed18b47b2d79541c787f882b22ada51a3b962f59e,True,4298,250,none,json_object,low
rag_generation::c4_doc_local_anon,c4_doc_local_anon,P0023,T3,1,4,511282aff634063f70da93ecdd919c628945659fd6c74cbbe9f7a3a3f2490c1c,True,4209,250,none,json_object,low
rag_generation::c5_linkguard,c5_linkguard,P0017,T3,1,1,b516e0e000a5c777bdd971d3ac7aae9e47b1c92b6b3bf864a22ae5e2adff1534,True,4087,250,none,json_object,low
rag_generation::c5_linkguard,c5_linkguard,P0023,T3,0,0,3620bbe0d38897390ee01cfe96921cef275e034aa4bb2c90c5bc7752d17f1801,True,4161,250,none,json_object,low
rag_generation::c6_aggressive_redaction,c6_aggressive_redaction,P0017,T3,0,0,e37264a990932052144741bcd923803b1e3c60dad942e1bc6b25456dd73677ab,True,3908,250,none,json_object,low
rag_generation::c6_aggressive_redaction,c6_aggressive_redaction,P0023,T3,0,0,751e7554d6a6419a605aa8a03560c95b3799c4d4a0d0ecec190859c240766908,True,3792,250,none,json_object,low
