condition,risk_tier,pair_precision,pair_recall,pair_f1,fixedk_ari,fixedk_nmi,fixedk_bcubed_f1,attr_exact_recovery,attr_coarse_recovery,aux_top1,aux_top3,aux_mrr,n_personas,target_k
c5_linkguard_k1,T1,0.09582309582309582,0.40625,0.1550695825049702,0.04894250352498825,0.6151583208666854,0.31862919743348406,0.002840909090909091,0.36363636363636365,0.15625,0.53125,0.39387400793650795,32,1
c5_linkguard_k1,T2,0.24081632653061225,0.3072916666666667,0.2700228832951945,0.1164303711782182,0.6762726139719318,0.3657121013681909,0.18181818181818182,1.0,0.96875,1.0,0.984375,32,1
c5_linkguard_k1,T3,0.35795454545454547,0.328125,0.3423913043478261,0.11350970956882286,0.6733060614093244,0.37237620279310085,1.0,1.0,1.0,1.0,1.0,32,1
c5_linkguard_k2,T1,0.023622047244094488,1.0,0.046153846153846156,-0.03057180600113229,0.5477973489434361,0.25,0.0,0.0,0.03125,0.1875,0.23138640873015873,32,2
c5_linkguard_k2,T2,0.04717853839037928,0.265625,0.08012568735271014,0.042935849534545,0.6003724895482757,0.3302500234323742,0.0,0.29545454545454547,0.03125,0.28125,0.2454985119047619,32,2
c5_linkguard_k2,T3,0.04299065420560748,0.23958333333333334,0.07290015847860538,0.032406338545492706,0.5876732950571162,0.3316108121330724,0.019886363636363636,0.2727272727272727,0.125,0.375,0.34330357142857143,32,2
c5_linkguard_k3,T1,0.023622047244094488,1.0,0.046153846153846156,-0.03109949084904362,0.5431242535960354,0.25,0.0,0.0,0.03125,0.1875,0.23138640873015873,32,3
c5_linkguard_k3,T2,0.03292181069958848,0.20833333333333334,0.05685856432125089,-0.030277866496327053,0.5566271311763034,0.25,0.0,0.2556818181818182,0.03125,0.28125,0.2507068452380952,32,3
c5_linkguard_k3,T3,0.03369175627240143,0.24479166666666666,0.05923125393824827,-0.032607321902515064,0.5286784451004988,0.25,0.011363636363636364,0.22443181818181818,0.09375,0.34375,0.31591021825396826,32,3
c5_linkguard_k5,T1,0.023622047244094488,1.0,0.046153846153846156,-0.03057180600113229,0.5477973489434362,0.25,0.0,0.0,0.03125,0.1875,0.23138640873015873,32,5
c5_linkguard_k5,T2,0.019052271617000488,0.203125,0.034836980794997766,-0.02900524273166746,0.5653634427154297,0.25,0.0,0.17613636363636365,0.0,0.28125,0.22831101190476188,32,5
c5_linkguard_k5,T3,0.023899848254931716,0.328125,0.04455445544554455,-0.03049916332522969,0.5470210503542731,0.25,0.0,0.1590909090909091,0.09375,0.3125,0.30665922619047614,32,5
c5_linkguard_k8,T1,0.023622047244094488,1.0,0.046153846153846156,-0.03057180600113229,0.5477973489434362,0.25,0.0,0.0,0.03125,0.1875,0.23138640873015873,32,8
c5_linkguard_k8,T2,0.01820294345468629,0.24479166666666666,0.033886085075702954,-0.028791084051390536,0.5667555303753137,0.25,0.0,0.15056818181818182,0.0,0.28125,0.2238467261904762,32,8
c5_linkguard_k8,T3,0.01822079314040729,0.265625,0.034102306920762285,-0.03136912205631978,0.5412050527350362,0.25,0.0,0.125,0.09375,0.3125,0.310218253968254,32,8
c5_linkguard_k12,T1,0.023622047244094488,1.0,0.046153846153846156,-0.03057180600113229,0.5477973489434362,0.25,0.0,0.0,0.03125,0.1875,0.23138640873015873,32,12
c5_linkguard_k12,T2,0.018282166264229044,0.2760416666666667,0.03429310902620511,-0.029420594416091263,0.5597476319608189,0.25,0.0,0.13352272727272727,0.0,0.28125,0.22198660714285715,32,12
c5_linkguard_k12,T3,0.01818181818181818,0.28125,0.03415559772296015,-0.03204086371023915,0.5356296361351828,0.25,0.0,0.11647727272727272,0.09375,0.3125,0.310218253968254,32,12
c5_linkguard_k20,T1,0.021052631578947368,0.6666666666666666,0.04081632653061224,-0.03057180600113229,0.5477973489434361,0.25,0.0,0.0,0.03125,0.1875,0.23138640873015873,32,20
c5_linkguard_k20,T2,0.01483679525222552,0.234375,0.027906976744186046,-0.03057180600113229,0.5476273308686009,0.25,0.0,0.07386363636363637,0.0,0.28125,0.22094494047619045,32,20
c5_linkguard_k20,T3,0.01316270566727605,0.1875,0.02459856508370345,-0.03313834852401034,0.5233825823629175,0.25,0.0,0.06534090909090909,0.09375,0.3125,0.31256200396825395,32,20
