task,condition,persona_id,risk_tier,retrieval_hit_at_k,target_docs_at_k,cache_key,cached,input_chars,max_output_tokens,reasoning_effort,text_format,text_verbosity
rag_generation::c1_direct_redaction,c1_direct_redaction,P0026,T3,1,4,2b09f53e54941c22eb7b6e7fd6dfed07f358c7c073a1c9d340206c4a64c3fbab,True,4119,250,none,json_object,low
rag_generation::c1_direct_redaction,c1_direct_redaction,P0029,T3,1,2,87b595955da26fdcaa579e2f14469a94d30a05604bbae00ba9bcdf59bd3124cc,True,4248,250,none,json_object,low
rag_generation::c1b_presidio_redaction,c1b_presidio_redaction,P0026,T3,1,3,12e26b0b6df324ddd4b90b4b11495b6d75542fe830bf233a931e6dbec14e18fc,True,4435,250,none,json_object,low
rag_generation::c1b_presidio_redaction,c1b_presidio_redaction,P0029,T3,1,2,ee8d575d3ef3f1ea5819eb485b2e93dc90cb64370f26cf092e42e06afa7756d5,True,4640,250,none,json_object,low
rag_generation::c4_doc_local_anon,c4_doc_local_anon,P0026,T3,1,3,9ef5e67c37cdf0d20a03a7841141dde3e9e453b563419dfbcf4ed21ebfa342cb,True,4170,250,none,json_object,low
rag_generation::c4_doc_local_anon,c4_doc_local_anon,P0029,T3,1,2,6bc023a81f3ffb711e01aca3fd72879915ebcb0eefe7683760cc6bb57a9df233,True,4258,250,none,json_object,low
rag_generation::c5_linkguard,c5_linkguard,P0026,T3,0,0,10d563ab4310eceaf05dec1770a7dab7048b06d65f78a0323b7ef2de8aff1111,True,4009,250,none,json_object,low
rag_generation::c5_linkguard,c5_linkguard,P0029,T3,1,1,01ca321507bf2fdec869795110b23a9a8be9a0f4b84e354c03e9e99b715158f5,True,4045,250,none,json_object,low
rag_generation::c6_aggressive_redaction,c6_aggressive_redaction,P0026,T3,0,0,8937d9128a6bb230cdfb247d61909d54c9af42119b4d809123d2d1cd05432b50,True,3868,250,none,json_object,low
rag_generation::c6_aggressive_redaction,c6_aggressive_redaction,P0029,T3,0,0,91b03293ff610e9f7f773b102c0c2b0cefaa8239bb4564e7d4c1ad36a2ac4115,True,4025,250,none,json_object,low
