task,condition,persona_id,risk_tier,retrieval_hit_at_k,target_docs_at_k,cache_key,cached,input_chars,max_output_tokens,reasoning_effort,text_format,text_verbosity
rag_generation::c1_direct_redaction,c1_direct_redaction,P0011,T3,1,2,bb17aa9c654287ed422ea10b0a88e71debc1daf7616ae2eab65888892acc1274,True,4265,250,none,json_object,low
rag_generation::c1_direct_redaction,c1_direct_redaction,P0014,T3,1,4,6e89002bcdcb4b8f710c710ea3b64dd4c3a16afbd23d6b3a3f10bf616f9e9385,True,4162,250,none,json_object,low
rag_generation::c1b_presidio_redaction,c1b_presidio_redaction,P0011,T3,1,2,1ce816dc0ee7eb78107f077a8e89f9a12508158e6b958e1198027b82a954715b,True,4535,250,none,json_object,low
rag_generation::c1b_presidio_redaction,c1b_presidio_redaction,P0014,T3,1,3,c2b15c4ec967e29e13b8b16951dc0fc36afd7274c67f0cf9acf915d13afc8369,True,4489,250,none,json_object,low
rag_generation::c4_doc_local_anon,c4_doc_local_anon,P0011,T3,1,1,e97296907be6c9642d7276708c448cbe24494205b558767d94741b254812fc7d,True,4291,250,none,json_object,low
rag_generation::c4_doc_local_anon,c4_doc_local_anon,P0014,T3,1,4,ca4f5d7355f2ec80a818f397060424530f33c53b9b0fbaff9ec0690e17a4e048,True,4178,250,none,json_object,low
rag_generation::c5_linkguard,c5_linkguard,P0011,T3,1,1,cb7254a712c258fbaf2a2a1827d1d790bec53d40792d1faf849ed40f8794317a,True,4028,250,none,json_object,low
rag_generation::c5_linkguard,c5_linkguard,P0014,T3,0,0,f0c484b2b74ddda3888b16034e39127e4e9d08d47f623be77c4d96b3b8cfb974,True,3999,250,none,json_object,low
rag_generation::c6_aggressive_redaction,c6_aggressive_redaction,P0011,T3,1,1,ac8f424bd9bad8ddb39a3ac79071f2589476f0d2f5b4e681879465d7810269ff,True,3828,250,none,json_object,low
rag_generation::c6_aggressive_redaction,c6_aggressive_redaction,P0014,T3,0,0,cccf8772d242715beb3fdb2ff6d57049e55a854ea8f29653d642ee46cd84be21,True,3878,250,none,json_object,low
