requested_candidate_set_size,candidate_set_size,condition,persona_id,risk_tier,rank,top1,top3,score_true,top_candidate
10,10,c1_direct_redaction,P0001,T2,2,0,1,0.03198928683671251,P0046
10,10,c1_direct_redaction,P0002,T3,1,1,1,0.1918736771846879,P0002
10,10,c1_direct_redaction,P0003,T1,5,0,0,0.006760069489191339,P0117
10,10,c1_direct_redaction,P0004,T2,1,1,1,0.039569668772310836,P0004
10,10,c1_direct_redaction,P0006,T1,3,0,1,0.010560383791344885,P0026
10,10,c1_direct_redaction,P0007,T2,1,1,1,0.04825198333198801,P0007
10,10,c1_direct_redaction,P0008,T3,1,1,1,0.21967993259959287,P0008
10,10,c1_direct_redaction,P0009,T1,2,0,1,0.01440110594880102,P0097
10,10,c1_direct_redaction,P0011,T3,1,1,1,0.18357730269908915,P0011
10,10,c1_direct_redaction,P0012,T1,1,1,1,0.021769403390066708,P0012
10,10,c1_direct_redaction,P0013,T2,1,1,1,0.042715743854640977,P0013
10,10,c1_direct_redaction,P0014,T3,1,1,1,0.22132084629796536,P0014
10,10,c1_direct_redaction,P0016,T2,1,1,1,0.05021407127067718,P0016
10,10,c1_direct_redaction,P0017,T3,1,1,1,0.23899753006688032,P0017
10,10,c1_direct_redaction,P0018,T1,2,0,1,0.011856864060044983,P0057
10,10,c1_direct_redaction,P0019,T2,1,1,1,0.04780891655262865,P0019
10,10,c1_direct_redaction,P0021,T1,5,0,0,0.00599574323394362,P0028
10,10,c1_direct_redaction,P0022,T2,1,1,1,0.06000552303562076,P0022
10,10,c1_direct_redaction,P0023,T3,1,1,1,0.1963854017686011,P0023
10,10,c1_direct_redaction,P0024,T1,4,0,0,0.010946252650616599,P0085
10,10,c1_direct_redaction,P0026,T3,1,1,1,0.19368784945154535,P0026
10,10,c1_direct_redaction,P0027,T1,9,0,0,0.003563295148868081,P0057
10,10,c1_direct_redaction,P0028,T2,1,1,1,0.032449172728806416,P0028
10,10,c1_direct_redaction,P0029,T3,1,1,1,0.2124453702937563,P0029
10,10,c1_direct_redaction,P0031,T2,1,1,1,0.03857338306777971,P0031
10,10,c1_direct_redaction,P0032,T3,1,1,1,0.2117683643823767,P0032
10,10,c1_direct_redaction,P0033,T1,3,0,1,0.00884657151675492,P0018
10,10,c1_direct_redaction,P0034,T2,1,1,1,0.04313247196060915,P0034
10,10,c1_direct_redaction,P0036,T1,3,0,1,0.012648195986091815,P0085
10,10,c1_direct_redaction,P0037,T2,1,1,1,0.0636322769470446,P0037
10,10,c1_direct_redaction,P0038,T3,1,1,1,0.2087023219886598,P0038
10,10,c1_direct_redaction,P0039,T1,1,1,1,0.0180708522532832,P0039
10,10,c1_direct_redaction,P0041,T3,1,1,1,0.18021748015562472,P0041
