attack,persona_id,risk_tier,rank,top1,top3,score_true,top_candidate,target_k,condition
field_weighted,P0001,T2,1,1,1,17.029999999999998,P0001,1,c5_linkguard_k1
field_weighted,P0002,T3,1,1,1,33.8,P0002,1,c5_linkguard_k1
field_weighted,P0003,T1,3,0,1,5.039999999999999,P0117,1,c5_linkguard_k1
field_weighted,P0004,T2,1,1,1,17.029999999999998,P0004,1,c5_linkguard_k1
field_weighted,P0006,T1,1,1,1,5.039999999999999,P0006,1,c5_linkguard_k1
field_weighted,P0007,T2,1,1,1,17.029999999999998,P0007,1,c5_linkguard_k1
field_weighted,P0008,T3,1,1,1,33.8,P0008,1,c5_linkguard_k1
field_weighted,P0009,T1,1,1,1,5.039999999999999,P0009,1,c5_linkguard_k1
field_weighted,P0011,T3,1,1,1,33.8,P0011,1,c5_linkguard_k1
field_weighted,P0012,T1,2,0,1,5.039999999999999,P0117,1,c5_linkguard_k1
field_weighted,P0013,T2,1,1,1,17.029999999999998,P0013,1,c5_linkguard_k1
field_weighted,P0014,T3,1,1,1,33.8,P0014,1,c5_linkguard_k1
field_weighted,P0016,T2,1,1,1,17.029999999999998,P0016,1,c5_linkguard_k1
field_weighted,P0017,T3,1,1,1,33.8,P0017,1,c5_linkguard_k1
field_weighted,P0018,T1,1,1,1,5.039999999999999,P0018,1,c5_linkguard_k1
field_weighted,P0019,T2,1,1,1,17.029999999999998,P0019,1,c5_linkguard_k1
field_weighted,P0021,T1,1,1,1,5.039999999999999,P0021,1,c5_linkguard_k1
field_weighted,P0022,T2,1,1,1,17.029999999999998,P0022,1,c5_linkguard_k1
field_weighted,P0023,T3,1,1,1,33.8,P0023,1,c5_linkguard_k1
field_weighted,P0024,T1,1,1,1,5.039999999999999,P0024,1,c5_linkguard_k1
field_weighted,P0026,T3,1,1,1,33.8,P0026,1,c5_linkguard_k1
field_weighted,P0027,T1,1,1,1,5.039999999999999,P0027,1,c5_linkguard_k1
field_weighted,P0028,T2,1,1,1,17.029999999999998,P0028,1,c5_linkguard_k1
field_weighted,P0029,T3,1,1,1,33.8,P0029,1,c5_linkguard_k1
field_weighted,P0031,T2,1,1,1,17.029999999999998,P0031,1,c5_linkguard_k1
field_weighted,P0032,T3,1,1,1,33.8,P0032,1,c5_linkguard_k1
field_weighted,P0033,T1,1,1,1,5.039999999999999,P0033,1,c5_linkguard_k1
field_weighted,P0034,T2,1,1,1,17.029999999999998,P0034,1,c5_linkguard_k1
field_weighted,P0036,T1,1,1,1,5.039999999999999,P0036,1,c5_linkguard_k1
field_weighted,P0037,T2,1,1,1,17.029999999999998,P0037,1,c5_linkguard_k1
field_weighted,P0038,T3,1,1,1,33.8,P0038,1,c5_linkguard_k1
field_weighted,P0039,T1,1,1,1,5.039999999999999,P0039,1,c5_linkguard_k1
field_weighted,P0041,T3,1,1,1,33.8,P0041,1,c5_linkguard_k1
field_weighted,P0042,T1,1,1,1,5.039999999999999,P0042,1,c5_linkguard_k1
field_weighted,P0043,T2,1,1,1,17.029999999999998,P0043,1,c5_linkguard_k1
field_weighted,P0044,T3,1,1,1,33.8,P0044,1,c5_linkguard_k1
field_weighted,P0046,T2,1,1,1,17.029999999999998,P0046,1,c5_linkguard_k1
field_weighted,P0047,T3,1,1,1,33.8,P0047,1,c5_linkguard_k1
field_weighted,P0048,T1,1,1,1,5.039999999999999,P0048,1,c5_linkguard_k1
field_weighted,P0049,T2,1,1,1,17.029999999999998,P0049,1,c5_linkguard_k1
field_weighted,P0051,T1,1,1,1,5.039999999999999,P0051,1,c5_linkguard_k1
field_weighted,P0052,T2,1,1,1,17.029999999999998,P0052,1,c5_linkguard_k1
field_weighted,P0053,T3,1,1,1,33.8,P0053,1,c5_linkguard_k1
field_weighted,P0054,T1,1,1,1,5.039999999999999,P0054,1,c5_linkguard_k1
field_weighted,P0056,T3,1,1,1,33.8,P0056,1,c5_linkguard_k1
field_weighted,P0057,T1,1,1,1,5.039999999999999,P0057,1,c5_linkguard_k1
field_weighted,P0058,T2,1,1,1,17.029999999999998,P0058,1,c5_linkguard_k1
field_weighted,P0059,T3,1,1,1,33.8,P0059,1,c5_linkguard_k1
field_weighted,P0061,T2,1,1,1,17.029999999999998,P0061,1,c5_linkguard_k1
field_weighted,P0062,T3,1,1,1,33.8,P0062,1,c5_linkguard_k1
field_weighted,P0063,T1,1,1,1,5.039999999999999,P0063,1,c5_linkguard_k1
field_weighted,P0064,T2,1,1,1,17.029999999999998,P0064,1,c5_linkguard_k1
field_weighted,P0066,T1,1,1,1,5.039999999999999,P0066,1,c5_linkguard_k1
field_weighted,P0067,T2,1,1,1,17.029999999999998,P0067,1,c5_linkguard_k1
field_weighted,P0068,T3,1,1,1,33.8,P0068,1,c5_linkguard_k1
field_weighted,P0069,T1,1,1,1,5.039999999999999,P0069,1,c5_linkguard_k1
field_weighted,P0071,T3,1,1,1,33.8,P0071,1,c5_linkguard_k1
field_weighted,P0072,T1,1,1,1,5.039999999999999,P0072,1,c5_linkguard_k1
field_weighted,P0073,T2,1,1,1,17.029999999999998,P0073,1,c5_linkguard_k1
field_weighted,P0074,T3,1,1,1,33.8,P0074,1,c5_linkguard_k1
field_weighted,P0076,T2,1,1,1,17.029999999999998,P0076,1,c5_linkguard_k1
field_weighted,P0077,T3,1,1,1,33.8,P0077,1,c5_linkguard_k1
field_weighted,P0078,T1,1,1,1,5.039999999999999,P0078,1,c5_linkguard_k1
field_weighted,P0079,T2,1,1,1,17.029999999999998,P0079,1,c5_linkguard_k1
field_weighted,P0081,T1,1,1,1,5.039999999999999,P0081,1,c5_linkguard_k1
field_weighted,P0082,T2,1,1,1,17.029999999999998,P0082,1,c5_linkguard_k1
field_weighted,P0083,T3,1,1,1,33.8,P0083,1,c5_linkguard_k1
field_weighted,P0084,T1,1,1,1,5.039999999999999,P0084,1,c5_linkguard_k1
