task,condition,persona_id,risk_tier,retrieval_hit_at_k,target_docs_at_k,cache_key,cached,input_chars,max_output_tokens,reasoning_effort,text_format,text_verbosity
rag_generation::c1_direct_redaction,c1_direct_redaction,P0032,T3,1,3,4f8a702a2eeffd99dd528346e9f386238814add3f2029429a3d15154629bb395,True,4275,250,none,json_object,low
rag_generation::c1_direct_redaction,c1_direct_redaction,P0038,T3,1,3,1ba4fa17a4728a8452a10199db938a50631ac1ec4ed56925245decfd98606466,True,4204,250,none,json_object,low
rag_generation::c1b_presidio_redaction,c1b_presidio_redaction,P0032,T3,1,3,5c451e6ae9c847b30aee5ff5ebfa450ad32eaba2f367f64bb4fbdf4883187a2d,True,4548,250,none,json_object,low
rag_generation::c1b_presidio_redaction,c1b_presidio_redaction,P0038,T3,1,2,87fd1a34455fc719348705519803de2f37a1e5394d600adc1ac9bd15596ce8f7,True,4578,250,none,json_object,low
rag_generation::c4_doc_local_anon,c4_doc_local_anon,P0032,T3,1,3,b30b83e43a752094581f2ad75e6438adc5247fbaef7f1a18dda49a5afc995100,True,4289,250,none,json_object,low
rag_generation::c4_doc_local_anon,c4_doc_local_anon,P0038,T3,1,2,9e07ed1f981eb9a762fc0a18874be73a9d7740df1e1da63eb3af09aa90817590,True,4216,250,none,json_object,low
rag_generation::c5_linkguard,c5_linkguard,P0032,T3,0,0,a13872073664aadfcc6edca9d05f561f1fa2dd1fe81439308b656eb70bc21b64,True,4092,250,none,json_object,low
rag_generation::c5_linkguard,c5_linkguard,P0038,T3,0,0,3914bd6d1ed17f8145ea6ec901f37979546c2a59b592687b1bfdc6298417e3b4,True,4270,250,none,json_object,low
rag_generation::c6_aggressive_redaction,c6_aggressive_redaction,P0032,T3,0,0,644e191dda340497433e9ae26cb4133679e418b1bebf3c80b04f7706677ee17b,True,3833,250,none,json_object,low
rag_generation::c6_aggressive_redaction,c6_aggressive_redaction,P0038,T3,0,0,14921d36240bd316586cc90300484b567e8d4bfbae8789393d0485051196c3fd,True,3875,250,none,json_object,low
