condition,condition_label,risk_tier,top1_doc_hit,hit_at_5,hit_at_10,multi_doc_at_10,target_doc_recall_at_10,mrr
original,C0 original,T2,0.0,0.0,0.03125,0.0,0.0078125,0.04279381519251771
original,C0 original,T3,1.0,1.0,1.0,1.0,0.9453125,1.0
original,C0 original,T1,0.0,0.0,0.0,0.0,0.0,0.016324299537196007
c1_direct_redaction,C1 direct redaction,T2,0.0,0.0,0.03125,0.0,0.0078125,0.04453141632560819
c1_direct_redaction,C1 direct redaction,T3,1.0,1.0,1.0,1.0,0.953125,1.0
c1_direct_redaction,C1 direct redaction,T1,0.0,0.0,0.0,0.0,0.0,0.01780969085623816
c1b_presidio_redaction,C1b Presidio redaction,T2,0.0,0.0,0.03125,0.0,0.0078125,0.044485891173563386
c1b_presidio_redaction,C1b Presidio redaction,T3,1.0,1.0,1.0,1.0,0.9453125,1.0
c1b_presidio_redaction,C1b Presidio redaction,T1,0.0,0.0,0.0,0.0,0.0,0.016093700532269245
c2_consistent_pseudonym,C2 consistent pseudonym,T2,0.0,0.0,0.0,0.0,0.0,0.020786062702141023
c2_consistent_pseudonym,C2 consistent pseudonym,T3,1.0,1.0,1.0,1.0,0.90625,1.0
c2_consistent_pseudonym,C2 consistent pseudonym,T1,0.0,0.0,0.0,0.0,0.0,0.019228025064011375
c3_per_doc_pseudonym,C3 per-doc pseudonym,T2,0.0,0.0,0.0,0.0,0.0,0.020702431856428578
c3_per_doc_pseudonym,C3 per-doc pseudonym,T3,1.0,1.0,1.0,1.0,0.90625,1.0
c3_per_doc_pseudonym,C3 per-doc pseudonym,T1,0.0,0.0,0.0,0.0,0.0,0.01906017220400386
c4_doc_local_anon,C4 doc-local proxy,T2,0.0,0.0,0.03125,0.0,0.0078125,0.043045017453642316
c4_doc_local_anon,C4 doc-local proxy,T3,1.0,1.0,1.0,1.0,0.9609375,1.0
c4_doc_local_anon,C4 doc-local proxy,T1,0.0,0.0,0.0,0.0,0.0,0.01768664436172028
c5_linkguard,C5 LinkGuard,T2,0.0625,0.28125,0.5,0.03125,0.1328125,0.17177621293284404
c5_linkguard,C5 LinkGuard,T3,0.125,0.3125,0.71875,0.0,0.1796875,0.25862011660724893
c5_linkguard,C5 LinkGuard,T1,0.0,0.03125,0.03125,0.0,0.0078125,0.0516888029702883
c6_aggressive_redaction,C6 aggressive redaction,T2,0.0,0.03125,0.125,0.0,0.03125,0.03313020492429502
c6_aggressive_redaction,C6 aggressive redaction,T3,0.0,0.03125,0.125,0.0,0.03125,0.040778210592926814
c6_aggressive_redaction,C6 aggressive redaction,T1,0.0,0.0,0.0625,0.0,0.015625,0.03379381015267713
