condition,condition_label,n_personas,retrieval_hit_at_k,target_docs_at_k,top_doc_is_target,exact_field_recovery,coarse_field_recovery,exact_fields_recovered,coarse_fields_recovered
original,C0 original,96,0.3333333333333333,0.96875,0.3333333333333333,0.5899621212121212,0.5899621212121212,6.489583333333333,6.489583333333333
c1_direct_redaction,C1 direct redaction,96,0.3333333333333333,1.0104166666666667,0.3333333333333333,0.5946969696969697,0.5946969696969697,6.541666666666667,6.541666666666667
c1b_presidio_redaction,C1b Presidio redaction,96,0.3333333333333333,0.9791666666666666,0.3333333333333333,0.5236742424242424,0.5236742424242424,5.760416666666667,5.760416666666667
c2_consistent_pseudonym,C2 consistent pseudonym,96,0.3333333333333333,0.875,0.3333333333333333,0.487689393939394,0.487689393939394,5.364583333333333,5.364583333333333
c3_per_doc_pseudonym,C3 per-doc pseudonym,96,0.3333333333333333,0.875,0.3333333333333333,0.487689393939394,0.487689393939394,5.364583333333333,5.364583333333333
c4_doc_local_anon,C4 doc-local proxy,96,0.3333333333333333,1.0,0.3333333333333333,0.5085227272727273,0.5719696969696969,5.59375,6.291666666666667
c5_linkguard,C5 LinkGuard,96,0.20833333333333334,0.20833333333333334,0.0625,0.0,0.04829545454545455,0.0,0.53125
c6_aggressive_redaction,C6 aggressive redaction,96,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
