condition,condition_label,query_type,query_label,risk_tier,n_personas,top1_doc_hit,hit_at_5,hit_at_10,multi_doc_at_10,target_doc_recall_at_10,mrr
c1_direct_redaction,C1 direct redaction,short,Short,T2,32,0.0,0.21875,0.6875,0.09375,0.1953125,0.15033808613771849
c1_direct_redaction,C1 direct redaction,medium,Medium,T2,32,0.0,0.09375,0.15625,0.0,0.0390625,0.06896197715562323
c1_direct_redaction,C1 direct redaction,verbose,Verbose,T2,32,0.0,0.125,0.75,0.0625,0.203125,0.13181141774891775
c1_direct_redaction,C1 direct redaction,short,Short,T3,32,0.40625,0.84375,0.9375,0.5,0.359375,0.5910528273809523
c1_direct_redaction,C1 direct redaction,medium,Medium,T3,32,1.0,1.0,1.0,1.0,0.640625,1.0
c1_direct_redaction,C1 direct redaction,verbose,Verbose,T3,32,1.0,1.0,1.0,1.0,0.8046875,1.0
c1_direct_redaction,C1 direct redaction,short,Short,T1,32,0.0,0.0,0.0,0.0,0.0,0.028361338976821863
c1_direct_redaction,C1 direct redaction,medium,Medium,T1,32,0.0,0.0,0.0,0.0,0.0,0.004379894086052378
c1_direct_redaction,C1 direct redaction,verbose,Verbose,T1,32,0.0,0.0,0.0,0.0,0.0,0.020669315155375574
c1b_presidio_redaction,C1b Presidio redaction,short,Short,T2,32,0.0,0.0625,0.21875,0.0,0.0546875,0.062389880537769234
c1b_presidio_redaction,C1b Presidio redaction,medium,Medium,T2,32,0.0,0.0625,0.125,0.0,0.03125,0.05219430855904086
c1b_presidio_redaction,C1b Presidio redaction,verbose,Verbose,T2,32,0.0,0.125,0.625,0.0,0.15625,0.1310515873015873
c1b_presidio_redaction,C1b Presidio redaction,short,Short,T3,32,0.375,0.90625,1.0,0.84375,0.4609375,0.5867559523809524
c1b_presidio_redaction,C1b Presidio redaction,medium,Medium,T3,32,0.96875,1.0,1.0,0.9375,0.546875,0.984375
c1b_presidio_redaction,C1b Presidio redaction,verbose,Verbose,T3,32,1.0,1.0,1.0,1.0,0.75,1.0
c1b_presidio_redaction,C1b Presidio redaction,short,Short,T1,32,0.0,0.0,0.0,0.0,0.0,0.013363310976771214
c1b_presidio_redaction,C1b Presidio redaction,medium,Medium,T1,32,0.0,0.0,0.0,0.0,0.0,0.004333737409822858
c1b_presidio_redaction,C1b Presidio redaction,verbose,Verbose,T1,32,0.0,0.0,0.0,0.0,0.0,0.016794073840449605
c4_doc_local_anon,C4 doc-local proxy,short,Short,T2,32,0.0,0.3125,0.8125,0.125,0.234375,0.16722075667388167
c4_doc_local_anon,C4 doc-local proxy,medium,Medium,T2,32,0.0,0.0,0.0,0.0,0.0,0.013401067395521911
c4_doc_local_anon,C4 doc-local proxy,verbose,Verbose,T2,32,0.0,0.125,0.59375,0.0,0.1484375,0.1219136766011766
c4_doc_local_anon,C4 doc-local proxy,short,Short,T3,32,0.875,1.0,1.0,0.5,0.3828125,0.9322916666666666
c4_doc_local_anon,C4 doc-local proxy,medium,Medium,T3,32,0.96875,1.0,1.0,0.9375,0.5390625,0.984375
c4_doc_local_anon,C4 doc-local proxy,verbose,Verbose,T3,32,1.0,1.0,1.0,1.0,0.765625,1.0
c4_doc_local_anon,C4 doc-local proxy,short,Short,T1,32,0.0,0.0,0.0,0.0,0.0,0.01691214222090423
c4_doc_local_anon,C4 doc-local proxy,medium,Medium,T1,32,0.0,0.0,0.0,0.0,0.0,0.004254292318223167
c4_doc_local_anon,C4 doc-local proxy,verbose,Verbose,T1,32,0.0,0.0,0.0,0.0,0.0,0.019749972793290105
c5_linkguard,C5 LinkGuard,short,Short,T2,32,0.0,0.0625,0.125,0.0,0.03125,0.06045323833864767
c5_linkguard,C5 LinkGuard,medium,Medium,T2,32,0.0625,0.21875,0.28125,0.0,0.0703125,0.14783986745204278
c5_linkguard,C5 LinkGuard,verbose,Verbose,T2,32,0.125,0.5625,0.6875,0.0625,0.1875,0.28736694059084567
c5_linkguard,C5 LinkGuard,short,Short,T3,32,0.0,0.0,0.0,0.0,0.0,0.015137192224133659
c5_linkguard,C5 LinkGuard,medium,Medium,T3,32,0.0,0.03125,0.09375,0.0,0.0234375,0.03771821863956124
c5_linkguard,C5 LinkGuard,verbose,Verbose,T3,32,0.09375,0.21875,0.3125,0.03125,0.0859375,0.18884426601401755
c5_linkguard,C5 LinkGuard,short,Short,T1,32,0.0,0.0,0.0,0.0,0.0,0.0070987943808057214
c5_linkguard,C5 LinkGuard,medium,Medium,T1,32,0.0,0.0,0.0,0.0,0.0,0.00752596970918715
c5_linkguard,C5 LinkGuard,verbose,Verbose,T1,32,0.0,0.0,0.1875,0.0,0.046875,0.058359880246810256
c6_aggressive_redaction,C6 aggressive redaction,short,Short,T2,32,0.03125,0.125,0.25,0.0,0.0625,0.11320517120648232
c6_aggressive_redaction,C6 aggressive redaction,medium,Medium,T2,32,0.03125,0.125,0.21875,0.0,0.0546875,0.09250479403615727
c6_aggressive_redaction,C6 aggressive redaction,verbose,Verbose,T2,32,0.0,0.0625,0.15625,0.0,0.0390625,0.0745460919416181
c6_aggressive_redaction,C6 aggressive redaction,short,Short,T3,32,0.0,0.0,0.0,0.0,0.0,0.008824436614502808
c6_aggressive_redaction,C6 aggressive redaction,medium,Medium,T3,32,0.0,0.0,0.0625,0.0,0.015625,0.02875760213769641
c6_aggressive_redaction,C6 aggressive redaction,verbose,Verbose,T3,32,0.0,0.0,0.0,0.0,0.0,0.013818878693674898
c6_aggressive_redaction,C6 aggressive redaction,short,Short,T1,32,0.0,0.0,0.0,0.0,0.0,0.005347876516361428
c6_aggressive_redaction,C6 aggressive redaction,medium,Medium,T1,32,0.0,0.0,0.0,0.0,0.0,0.004982744320225258
c6_aggressive_redaction,C6 aggressive redaction,verbose,Verbose,T1,32,0.0,0.03125,0.0625,0.0,0.015625,0.027569114777904403
