condition,risk_tier,n,top1,top3,mrr,mean_rank,median_top_1_score,median_top_score_margin,uncertain_rate
c1_direct_redaction,T2,12,1.0,1.0,1.0,1.0,0.875,,0.08333333333333333
c1_direct_redaction,T3,12,1.0,1.0,1.0,1.0,0.99,,0.0
c1b_presidio_redaction,T2,12,0.9166666666666666,1.0,0.9583333333333334,1.0833333333333333,0.86,,0.16666666666666666
c1b_presidio_redaction,T3,12,1.0,1.0,1.0,1.0,0.99,,0.0
c4_doc_local_anon,T2,12,1.0,1.0,1.0,1.0,0.82,,0.16666666666666666
c4_doc_local_anon,T3,12,1.0,1.0,1.0,1.0,0.99,,0.0
c4_openai_doc_local_gpt55_24p,T2,12,1.0,1.0,1.0,1.0,0.86,,0.08333333333333333
c4_openai_doc_local_gpt55_24p,T3,12,1.0,1.0,1.0,1.0,0.99,,0.0
c5_linkguard,T2,12,0.25,0.5,0.45416666666666666,3.3333333333333335,0.38,,0.6666666666666666
c5_linkguard,T3,12,0.4166666666666667,0.75,0.6069444444444444,2.5,0.44999999999999996,,1.0
c6_aggressive_redaction,T2,12,0.4166666666666667,0.6666666666666666,0.5930555555555556,2.5,0.62,,0.8333333333333334
c6_aggressive_redaction,T3,12,0.16666666666666666,0.5,0.4041666666666666,3.3333333333333335,0.55,,0.9166666666666666
