condition,pair_f1,aux_top1,aux_top3,exact,issue,ret5,facts,edit
N0 noisy original,0.9613656783468104,0.65625,0.84375,0.39488636363636365,1.0,1.0,1.0,
C1 direct redaction,0.18732996502137583,0.65625,0.84375,0.39488636363636365,1.0,1.0,1.0,0.24265665639001407
C1b Presidio redaction,0.1426865671641791,0.5625,0.8020833333333334,0.32670454545454547,1.0,1.0,1.0,0.34504980308054345
C4 doc-local proxy,0.16118769883351008,0.59375,0.84375,0.3039772727272727,1.0,1.0,1.0,0.2947229216881789
C5 LinkGuard,0.01868699286943693,0.041666666666666664,0.21875,0.0,1.0,1.0,1.0,0.46534812521594515
C6 aggressive redaction,0.011519949501591227,0.041666666666666664,0.2916666666666667,0.0,0.47291666666666665,0.6354166666666666,0.6666666666666665,0.626634155723075
