condition,condition_label,threshold,val_pair_f1,edit_ratio,pair_precision,pair_recall,pair_f1,cluster_ari,cluster_nmi,bcubed_precision,bcubed_recall,bcubed_f1,num_pred_clusters,fixedk_ari,fixedk_nmi,fixedk_bcubed_f1,aux_top1,aux_top3,aux_mrr,attr_exact_recovery,attr_coarse_recovery,domain_acc,issue_acc,fact_preservation,retrieval_recall_at_5,retrieval_mrr
noisy_original,N0 noisy original,0.459077387848414,0.9750889679715302,,0.9962756052141527,0.9288194444444444,0.9613656783468104,0.9727537881482535,0.9968261847379789,0.9791666666666666,1.0,0.9894736842105264,94.0,1.0,1.0,1.0,0.65625,0.84375,0.7619998346560847,0.39488636363636365,0.7878787878787878,1.0,1.0,1.0,1.0,1.0
c1_direct_redaction,C1 direct redaction,0.330501312318785,0.38666666666666666,0.24265665639001407,0.12068102153229844,0.4184027777777778,0.18732996502137583,0.0,0.0,0.010416666666666666,1.0,0.020618556701030924,1.0,0.11444546461155528,0.7454806761758614,0.3793564553373516,0.65625,0.84375,0.7621445105820106,0.39488636363636365,0.7878787878787878,1.0,1.0,1.0,1.0,1.0
c1b_presidio_redaction,C1b Presidio redaction,0.2468787381886974,0.31382978723404253,0.34504980308054345,0.08615717375630857,0.4149305555555556,0.1426865671641791,-7.36286510351677e-05,0.12120672974396429,0.07497678737233053,0.90234375,0.13844963426717977,26.0,0.0860880313576183,0.7187259179167094,0.33820049082906023,0.5625,0.8020833333333334,0.700739914021164,0.32670454545454547,0.6979166666666666,1.0,1.0,1.0,1.0,1.0
c4_doc_local_anon,C4 doc-local proxy,0.3507244164138929,0.33727810650887574,0.2947229216881789,0.10119840213049268,0.3958333333333333,0.16118769883351008,0.0,0.005341942545915637,0.013000435161009571,0.99609375,0.025665894029694863,2.0,0.09789526171449567,0.7321293778373941,0.36065521235783743,0.59375,0.84375,0.7308945105820106,0.3039772727272727,0.7878787878787878,1.0,1.0,1.0,1.0,1.0
c5_linkguard,C5 LinkGuard,0.41511983863047924,0.08019441069258809,0.46534812521594515,0.009536442835119922,0.4618055555555556,0.01868699286943693,5.835421121926661e-05,0.09353311195188571,0.03071749533146591,0.9010416666666666,0.05940965072977746,8.0,-0.009918981323350593,0.6594219833862489,0.25,0.041666666666666664,0.21875,0.23769014550264547,0.0,0.11174242424242424,1.0,1.0,1.0,1.0,1.0
c6_aggressive_redaction,C6 aggressive redaction,0.9115462165769433,0.055322715842414084,0.626634155723075,0.005848577914274269,0.3802083333333333,0.011519949501591227,0.0,0.0,0.010416666666666666,1.0,0.020618556701030924,1.0,-0.009623259256338897,0.6705747622319199,0.25,0.041666666666666664,0.2916666666666667,0.2644923941798942,0.0,0.0,1.0,0.47291666666666665,0.6666666666666665,0.6354166666666666,0.3682470646828232
