persona_id,risk_tier,rank,top1,top3,score_true,top_candidate,condition
P0001,T2,2,0,1,0.024357024017761707,P0046,noisy_original
P0002,T3,1,1,1,0.15338150050899313,P0002,noisy_original
P0003,T1,5,0,0,0.00691825903336454,P0117,noisy_original
P0004,T2,1,1,1,0.02775520129843528,P0004,noisy_original
P0006,T1,2,0,1,0.010153213105602988,P0026,noisy_original
P0007,T2,1,1,1,0.03776031134992894,P0007,noisy_original
P0008,T3,1,1,1,0.17656540188667744,P0008,noisy_original
P0009,T1,2,0,1,0.013816119542261598,P0097,noisy_original
P0011,T3,1,1,1,0.14535945341324558,P0011,noisy_original
P0012,T1,2,0,1,0.02121747412186828,P0117,noisy_original
P0013,T2,1,1,1,0.03229186802821129,P0013,noisy_original
P0014,T3,1,1,1,0.1758935297831623,P0014,noisy_original
P0016,T2,1,1,1,0.039249390385545174,P0016,noisy_original
P0017,T3,1,1,1,0.18865788805834144,P0017,noisy_original
P0018,T1,3,0,1,0.010472448605745832,P0057,noisy_original
P0019,T2,1,1,1,0.03616620411022265,P0019,noisy_original
P0021,T1,8,0,0,0.0050105957927384205,P0051,noisy_original
P0022,T2,1,1,1,0.050150139504707834,P0022,noisy_original
P0023,T3,1,1,1,0.1591233644526246,P0023,noisy_original
P0024,T1,7,0,0,0.009090051897494615,P0087,noisy_original
P0026,T3,1,1,1,0.15527975651603276,P0026,noisy_original
P0027,T1,9,0,0,0.003289913491393107,P0044,noisy_original
P0028,T2,1,1,1,0.02439942185964647,P0028,noisy_original
P0029,T3,1,1,1,0.1634926703320171,P0029,noisy_original
P0031,T2,1,1,1,0.02711186237821368,P0031,noisy_original
P0032,T3,1,1,1,0.1679806037573314,P0032,noisy_original
P0033,T1,6,0,0,0.005857449783686081,P0018,noisy_original
P0034,T2,1,1,1,0.03293038063251056,P0034,noisy_original
P0036,T1,3,0,1,0.011608814126084943,P0085,noisy_original
P0037,T2,1,1,1,0.04444796832502257,P0037,noisy_original
P0038,T3,1,1,1,0.16035865208712022,P0038,noisy_original
P0039,T1,2,0,1,0.014234552273745996,P0007,noisy_original
P0041,T3,1,1,1,0.14979355995271643,P0041,noisy_original
P0042,T1,7,0,0,0.005806601972883102,P0040,noisy_original
P0043,T2,1,1,1,0.029538453490489124,P0043,noisy_original
P0044,T3,1,1,1,0.18075225564794423,P0044,noisy_original
P0046,T2,3,0,1,0.02674265816302129,P0001,noisy_original
P0047,T3,1,1,1,0.13896597290971574,P0047,noisy_original
