condition,doc_id,edit_ratio,char_delta
c1_direct_redaction,P0000_D01,0.1023489932885906,-50
c4_doc_local_anon,P0000_D01,0.1023489932885906,-50
c5_linkguard,P0000_D01,0.1328320802005013,-45
c6_aggressive_redaction,P0000_D01,0.20243266724587317,-91
c1b_presidio_redaction,P0000_D01,0.7814207650273224,39
c1_direct_redaction,P0000_D02,0.1119266055045871,-50
c4_doc_local_anon,P0000_D02,0.1119266055045871,-50
c5_linkguard,P0000_D02,0.14652014652014655,-48
c6_aggressive_redaction,P0000_D02,0.21017907634307254,-79
c1b_presidio_redaction,P0000_D02,0.14814814814814814,-6
c1_direct_redaction,P0000_D03,0.8028747433264887,-50
c4_doc_local_anon,P0000_D03,0.8028747433264887,-50
c5_linkguard,P0000_D03,0.8042813455657493,-43
c6_aggressive_redaction,P0000_D03,0.8308668076109936,-78
c1b_presidio_redaction,P0000_D03,0.789778206364513,13
c1_direct_redaction,P0000_D04,0.11213235294117652,-50
c4_doc_local_anon,P0000_D04,0.11213235294117652,-50
c5_linkguard,P0000_D04,0.3424908424908425,-46
c6_aggressive_redaction,P0000_D04,0.6403846153846153,-98
c1b_presidio_redaction,P0000_D04,0.1482433590402742,29
c1_direct_redaction,P0001_D01,0.808641975308642,-54
c4_doc_local_anon,P0001_D01,0.8144486692015209,-35
c5_linkguard,P0001_D01,0.803486529318542,-88
c6_aggressive_redaction,P0001_D01,0.3864013266998342,-144
c1b_presidio_redaction,P0001_D01,0.8352941176470589,10
c1_direct_redaction,P0001_D02,0.15979381443298968,-54
c4_doc_local_anon,P0001_D02,0.15979381443298968,-54
c5_linkguard,P0001_D02,0.6719298245614035,-78
c6_aggressive_redaction,P0001_D02,0.6848816029143898,-120
c1b_presidio_redaction,P0001_D02,0.22067268252666117,1
c1_direct_redaction,P0001_D03,0.7553191489361702,-54
c4_doc_local_anon,P0001_D03,0.7611159546643418,-35
c5_linkguard,P0001_D03,0.7517985611510791,-70
c6_aggressive_redaction,P0001_D03,0.861878453038674,-96
c1b_presidio_redaction,P0001_D03,0.8327702702702703,2
c1_direct_redaction,P0001_D04,0.10689655172413792,-54
c4_doc_local_anon,P0001_D04,0.10689655172413792,-54
c5_linkguard,P0001_D04,0.2908296943231441,-69
c6_aggressive_redaction,P0001_D04,0.601123595505618,-146
c1b_presidio_redaction,P0001_D04,0.15815485996705103,0
c1_direct_redaction,P0002_D01,0.09647058823529409,-49
c4_doc_local_anon,P0002_D01,0.8065015479876161,-32
c5_linkguard,P0002_D01,0.8125984251968503,-54
c6_aggressive_redaction,P0002_D01,0.6103247293921732,-123
c1b_presidio_redaction,P0002_D01,0.3328434974283615,37
c1_direct_redaction,P0002_D02,0.10594315245478036,-49
c4_doc_local_anon,P0002_D02,0.10594315245478036,-49
c5_linkguard,P0002_D02,0.4807520143240823,-93
c6_aggressive_redaction,P0002_D02,0.5940130963517306,-141
c1b_presidio_redaction,P0002_D02,0.18638573743922204,24
c1_direct_redaction,P0002_D03,0.1451451451451451,-49
c4_doc_local_anon,P0002_D03,0.17125984251968507,-32
c5_linkguard,P0002_D03,0.6622851365015167,-59
c6_aggressive_redaction,P0002_D03,0.6895833333333333,-88
c1b_presidio_redaction,P0002_D03,0.1690821256038647,-13
c1_direct_redaction,P0002_D04,0.17000871839581522,-49
c4_doc_local_anon,P0002_D04,0.19685039370078738,-53
c5_linkguard,P0002_D04,0.500875656742557,-54
c6_aggressive_redaction,P0002_D04,0.7408450704225352,-131
c1b_presidio_redaction,P0002_D04,0.2477514309076042,27
c1_direct_redaction,P0003_D01,0.10645431684828166,-49
c4_doc_local_anon,P0003_D01,0.10645431684828166,-49
c5_linkguard,P0003_D01,0.14118629908103597,-45
c6_aggressive_redaction,P0003_D01,0.8210251954821894,-91
c1b_presidio_redaction,P0003_D01,0.8111380145278451,-3
c1_direct_redaction,P0003_D02,0.11463187325256285,-49
c4_doc_local_anon,P0003_D02,0.11463187325256285,-49
c5_linkguard,P0003_D02,0.2111627906976744,-47
c6_aggressive_redaction,P0003_D02,0.2438095238095238,-72
c1b_presidio_redaction,P0003_D02,0.1581769436997319,-3
c1_direct_redaction,P0003_D03,0.11636707663197732,-49
c4_doc_local_anon,P0003_D03,0.11636707663197732,-49
c5_linkguard,P0003_D03,0.13909774436090228,-42
c6_aggressive_redaction,P0003_D03,0.6358381502890174,-68
c1b_presidio_redaction,P0003_D03,0.18418688230008984,7
c1_direct_redaction,P0003_D04,0.10468085106382974,-49
c4_doc_local_anon,P0003_D04,0.10468085106382974,-49
c5_linkguard,P0003_D04,0.5131467345207803,-45
c6_aggressive_redaction,P0003_D04,0.5700267618198038,-103
c1b_presidio_redaction,P0003_D04,0.144963144963145,-3
c1_direct_redaction,P0004_D01,0.09255079006772005,-53
c4_doc_local_anon,P0004_D01,0.3785394932935916,-40
c5_linkguard,P0004_D01,0.6749226006191951,-90
c6_aggressive_redaction,P0004_D01,0.6564019448946515,-148
c1b_presidio_redaction,P0004_D01,0.4825174825174825,48
c1_direct_redaction,P0004_D02,0.14148219441770937,-53
c4_doc_local_anon,P0004_D02,0.14148219441770937,-53
c5_linkguard,P0004_D02,0.26150832517140055,-71
c6_aggressive_redaction,P0004_D02,0.3953013278855976,-113
c1b_presidio_redaction,P0004_D02,0.16917293233082709,-28
c1_direct_redaction,P0004_D03,0.11399443929564412,-53
c4_doc_local_anon,P0004_D03,0.1428571428571429,-40
c5_linkguard,P0004_D03,0.814569536423841,-75
c6_aggressive_redaction,P0004_D03,0.7245392822502426,-101
c1b_presidio_redaction,P0004_D03,0.22528940338379344,-9
c1_direct_redaction,P0004_D04,0.10856134157105035,-53
c4_doc_local_anon,P0004_D04,0.10856134157105035,-53
c5_linkguard,P0004_D04,0.5692582663092047,-67
c6_aggressive_redaction,P0004_D04,0.7151051625239006,-140
c1b_presidio_redaction,P0004_D04,0.8189300411522633,29
c1_direct_redaction,P0005_D01,0.10301109350237714,-52
c4_doc_local_anon,P0005_D01,0.12968749999999996,-34
c5_linkguard,P0005_D01,0.5476753349093775,-45
c6_aggressive_redaction,P0005_D01,0.6101265822784809,-129
c1b_presidio_redaction,P0005_D01,0.1948833709556057,15
c1_direct_redaction,P0005_D02,0.11265164644714043,-52
c4_doc_local_anon,P0005_D02,0.11265164644714043,-52
c5_linkguard,P0005_D02,0.3606411398040962,-83
c6_aggressive_redaction,P0005_D02,0.39456419868791004,-139
c1b_presidio_redaction,P0005_D02,0.1428571428571429,5
c1_direct_redaction,P0005_D03,0.14455445544554457,-52
c4_doc_local_anon,P0005_D03,0.17509727626459148,-34
c5_linkguard,P0005_D03,0.8084066471163245,-39
c6_aggressive_redaction,P0005_D03,0.7,-82
c1b_presidio_redaction,P0005_D03,0.17248062015503873,-30
c1_direct_redaction,P0005_D04,0.12056737588652477,-52
c4_doc_local_anon,P0005_D04,0.15555555555555556,-55
c5_linkguard,P0005_D04,0.5207780725022104,-49
c6_aggressive_redaction,P0005_D04,0.969639468690702,-126
c1b_presidio_redaction,P0005_D04,0.13157894736842102,-40
c1_direct_redaction,P0006_D01,0.7438507209499576,-53
c4_doc_local_anon,P0006_D01,0.7438507209499576,-53
c5_linkguard,P0006_D01,0.746407438715131,-49
c6_aggressive_redaction,P0006_D01,0.7112299465240641,-110
c1b_presidio_redaction,P0006_D01,0.8244147157190636,-36
c1_direct_redaction,P0006_D02,0.13277623026926644,-53
c4_doc_local_anon,P0006_D02,0.13277623026926644,-53
c5_linkguard,P0006_D02,0.16356877323420072,-54
c6_aggressive_redaction,P0006_D02,0.250965250965251,-94
c1b_presidio_redaction,P0006_D02,0.13653136531365317,-46
c1_direct_redaction,P0006_D03,0.15005035246727094,-53
c4_doc_local_anon,P0006_D03,0.15005035246727094,-53
c5_linkguard,P0006_D03,0.17400000000000004,-46
c6_aggressive_redaction,P0006_D03,0.6062176165803108,-81
c1b_presidio_redaction,P0006_D03,0.7623762376237624,-36
c1_direct_redaction,P0006_D04,0.16878710771840544,-53
c4_doc_local_anon,P0006_D04,0.16878710771840544,-53
c5_linkguard,P0006_D04,0.25762711864406784,-52
c6_aggressive_redaction,P0006_D04,0.510752688172043,-116
c1b_presidio_redaction,P0006_D04,0.1469879518072289,13
c1_direct_redaction,P0007_D01,0.7210365853658536,-68
c4_doc_local_anon,P0007_D01,0.7108614232209738,-45
c5_linkguard,P0007_D01,0.7194076383476228,-97
c6_aggressive_redaction,P0007_D01,0.7544715447154472,-150
c1b_presidio_redaction,P0007_D01,0.7454545454545455,-5
c1_direct_redaction,P0007_D02,0.12152777777777779,-68
c4_doc_local_anon,P0007_D02,0.12152777777777779,-68
c5_linkguard,P0007_D02,0.3167259786476868,-96
c6_aggressive_redaction,P0007_D02,0.6363636363636364,-153
c1b_presidio_redaction,P0007_D02,0.16900247320692496,-7
c1_direct_redaction,P0007_D03,0.12089810017271152,-68
c4_doc_local_anon,P0007_D03,0.14479254868755287,-45
c5_linkguard,P0007_D03,0.27622377622377625,-82
c6_aggressive_redaction,P0007_D03,0.7416440831074977,-119
c1b_presidio_redaction,P0007_D03,0.1973791973791974,-5
c1_direct_redaction,P0007_D04,0.11627906976744184,-68
c4_doc_local_anon,P0007_D04,0.11627906976744184,-68
c5_linkguard,P0007_D04,0.23953098827470687,-78
c6_aggressive_redaction,P0007_D04,0.6651583710407241,-167
c1b_presidio_redaction,P0007_D04,0.16823899371069184,0
c1_direct_redaction,P0008_D01,0.10299003322259137,-52
c4_doc_local_anon,P0008_D01,0.1253071253071253,-35
c5_linkguard,P0008_D01,0.6447039199332778,-57
c6_aggressive_redaction,P0008_D01,0.9210526315789473,-116
c1b_presidio_redaction,P0008_D01,0.691358024691358,40
c1_direct_redaction,P0008_D02,0.11131059245960506,-52
c4_doc_local_anon,P0008_D02,0.11131059245960506,-52
c5_linkguard,P0008_D02,0.6672897196261682,-96
c6_aggressive_redaction,P0008_D02,0.632295719844358,-138
c1b_presidio_redaction,P0008_D02,0.18828451882845187,29
c1_direct_redaction,P0008_D03,0.11131059245960506,-52
c4_doc_local_anon,P0008_D03,0.13527851458885942,-35
c5_linkguard,P0008_D03,0.3097826086956522,-62
c6_aggressive_redaction,P0008_D03,0.6622641509433962,-106
c1b_presidio_redaction,P0008_D03,0.17212426532325775,25
c1_direct_redaction,P0008_D04,0.10839160839160844,-52
c4_doc_local_anon,P0008_D04,0.11816578483245155,-62
c5_linkguard,P0008_D04,0.3734513274336283,-66
c6_aggressive_redaction,P0008_D04,0.5879586077140169,-133
c1b_presidio_redaction,P0008_D04,0.16831683168316836,16
c1_direct_redaction,P0009_D01,0.10729613733905574,-51
c4_doc_local_anon,P0009_D01,0.10729613733905574,-51
c5_linkguard,P0009_D01,0.14188034188034193,-46
c6_aggressive_redaction,P0009_D01,0.5729537366548043,-92
c1b_presidio_redaction,P0009_D01,0.1398373983739838,14
c1_direct_redaction,P0009_D02,0.14313534566699126,-51
c4_doc_local_anon,P0009_D02,0.14313534566699126,-51
c5_linkguard,P0009_D02,0.2730806608357629,-49
c6_aggressive_redaction,P0009_D02,0.2558139534883721,-89
c1b_presidio_redaction,P0009_D02,0.18333333333333335,2
c1_direct_redaction,P0009_D03,0.7746999076638965,-51
c4_doc_local_anon,P0009_D03,0.7746999076638965,-51
c5_linkguard,P0009_D03,0.7761467889908257,-44
c6_aggressive_redaction,P0009_D03,0.7990521327014218,-79
c1b_presidio_redaction,P0009_D03,0.773747841105354,24
c1_direct_redaction,P0009_D04,0.12271540469973885,-51
c4_doc_local_anon,P0009_D04,0.12271540469973885,-51
c5_linkguard,P0009_D04,0.3460537727666956,-47
c6_aggressive_redaction,P0009_D04,0.7901578458681523,-123
c1b_presidio_redaction,P0009_D04,0.8340318524727577,-7
c1_direct_redaction,P0010_D01,0.1181744091279544,-55
c4_doc_local_anon,P0010_D01,0.1476725521669342,-36
c5_linkguard,P0010_D01,0.6759026028547439,-91
c6_aggressive_redaction,P0010_D01,0.5505226480836236,-134
c1b_presidio_redaction,P0010_D01,0.28840125391849525,-6
c1_direct_redaction,P0010_D02,0.1142604074402126,-55
c4_doc_local_anon,P0010_D02,0.1142604074402126,-55
c5_linkguard,P0010_D02,0.19713261648745517,-68
c6_aggressive_redaction,P0010_D02,0.5908221797323137,-138
c1b_presidio_redaction,P0010_D02,0.17258464079273328,27
c1_direct_redaction,P0010_D03,0.17356828193832596,-55
c4_doc_local_anon,P0010_D03,0.7989601386481803,-36
c5_linkguard,P0010_D03,0.4441465594280608,-71
c6_aggressive_redaction,P0010_D03,0.5827996340347668,-97
c1b_presidio_redaction,P0010_D03,0.2599837000814996,37
c1_direct_redaction,P0010_D04,0.12277730736663839,-55
c4_doc_local_anon,P0010_D04,0.12277730736663839,-55
c5_linkguard,P0010_D04,0.46585998271391527,-79
c6_aggressive_redaction,P0010_D04,0.7402597402597403,-158
c1b_presidio_redaction,P0010_D04,0.8557377049180328,-16
c1_direct_redaction,P0011_D01,0.8365384615384616,-56
c4_doc_local_anon,P0011_D01,0.8297872340425532,-35
c5_linkguard,P0011_D01,0.8342629482071713,-49
c6_aggressive_redaction,P0011_D01,0.38292476754015214,-121
c1b_presidio_redaction,P0011_D01,0.7857142857142857,12
c1_direct_redaction,P0011_D02,0.10833333333333328,-56
c4_doc_local_anon,P0011_D02,0.10833333333333328,-56
c5_linkguard,P0011_D02,0.662608695652174,-106
c6_aggressive_redaction,P0011_D02,0.52994555353902,-154
c1b_presidio_redaction,P0011_D02,0.14691943127962082,10
c1_direct_redaction,P0011_D03,0.812015503875969,-56
c4_doc_local_anon,P0011_D03,0.16809116809116809,-35
c5_linkguard,P0011_D03,0.7996108949416343,-60
c6_aggressive_redaction,P0011_D03,0.467479674796748,-104
c1b_presidio_redaction,P0011_D03,0.18114602587800366,-6
c1_direct_redaction,P0011_D04,0.11245674740484424,-56
c4_doc_local_anon,P0011_D04,0.1483087597571553,-59
c5_linkguard,P0011_D04,0.4379310344827586,-52
c6_aggressive_redaction,P0011_D04,0.7065923862581245,-135
c1b_presidio_redaction,P0011_D04,0.1522094926350246,10
c1_direct_redaction,P0012_D01,0.7959895379250218,-53
c4_doc_local_anon,P0012_D01,0.7959895379250218,-53
c5_linkguard,P0012_D01,0.7977332170880558,-53
c6_aggressive_redaction,P0012_D01,0.620345140781108,-99
c1b_presidio_redaction,P0012_D01,0.15666666666666662,0
c1_direct_redaction,P0012_D02,0.11598173515981736,-53
c4_doc_local_anon,P0012_D02,0.11598173515981736,-53
c5_linkguard,P0012_D02,0.13083257090576395,-55
c6_aggressive_redaction,P0012_D02,0.20973782771535576,-80
c1b_presidio_redaction,P0012_D02,0.16106804478897507,13
c1_direct_redaction,P0012_D03,0.7651588065447545,-53
