condition,risk_tier,pair_precision,pair_recall,pair_f1,fixedk_ari,fixedk_nmi,fixedk_bcubed_f1,attr_exact_recovery,attr_coarse_recovery,aux_top1,aux_top3,aux_mrr,n_personas
noisy_original,T1,1.0,1.0,1.0,1.0,1.0,1.0,0.002840909090909091,0.36363636363636365,0.09375,0.53125,0.3537078373015873,32
noisy_original,T2,0.9888888888888889,0.9270833333333334,0.956989247311828,1.0,1.0,1.0,0.18181818181818182,1.0,0.875,1.0,0.9322916666666666,32
noisy_original,T3,1.0,0.859375,0.9243697478991597,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32
c1_direct_redaction,T1,0.10052910052910052,0.4947916666666667,0.16710642040457344,0.06561196054435811,0.624254530916055,0.3351645217475575,0.002840909090909091,0.36363636363636365,0.09375,0.53125,0.35414186507936507,32
c1_direct_redaction,T2,0.20153061224489796,0.4114583333333333,0.2705479452054795,0.1279312961557682,0.6832133992706094,0.3789992331288343,0.18181818181818182,1.0,0.875,1.0,0.9322916666666666,32
c1_direct_redaction,T3,0.22039473684210525,0.3489583333333333,0.2701612903225806,0.13595672904769981,0.6851712270246377,0.3846728349169508,1.0,1.0,1.0,1.0,1.0,32
c1b_presidio_redaction,T1,0.09366754617414248,0.3697916666666667,0.14947368421052631,0.06260996438226837,0.5665500741949393,0.3681895561757767,0.002840909090909091,0.29829545454545453,0.0625,0.40625,0.29492807539682536,32
c1b_presidio_redaction,T2,0.09935897435897435,0.484375,0.16489361702127658,0.07678435309647312,0.6494926789384758,0.33459285356904606,0.125,0.9431818181818182,0.625,1.0,0.8072916666666666,32
c1b_presidio_redaction,T3,0.10013351134846461,0.390625,0.1594048884165781,0.08471834093249007,0.6545499978627224,0.34920518692086483,0.8522727272727273,0.8522727272727273,1.0,1.0,1.0,32
c4_doc_local_anon,T1,0.10405257393209201,0.4947916666666667,0.17194570135746606,0.05812187605974375,0.6175322239666359,0.32812986572983993,0.002840909090909091,0.36363636363636365,0.09375,0.53125,0.35414186507936507,32
c4_doc_local_anon,T2,0.16210045662100456,0.3697916666666667,0.2253968253968254,0.04735990586851008,0.6282971594769904,0.31249999999999994,0.09090909090909091,1.0,0.6875,1.0,0.8385416666666666,32
c4_doc_local_anon,T3,0.18960244648318042,0.3229166666666667,0.23892100192678228,0.1130990768550423,0.6733717368779584,0.3748372395833333,0.8181818181818182,1.0,1.0,1.0,1.0,32
c5_linkguard,T1,0.023622047244094488,1.0,0.046153846153846156,-0.029819513471095998,0.556479589949757,0.25,0.0,0.0,0.03125,0.1875,0.21814236111111113,32
c5_linkguard,T2,0.018789144050104383,0.1875,0.03415559772296015,-0.02921503546577258,0.5610937630191537,0.25,0.0,0.17613636363636365,0.0,0.21875,0.21842757936507937,32
c5_linkguard,T3,0.017907634307257305,0.19791666666666666,0.032843560933448576,-0.03126893709853351,0.540892559843816,0.25,0.0,0.1590909090909091,0.09375,0.25,0.276500496031746,32
c6_aggressive_redaction,T1,0.015628539071347678,0.359375,0.029954417191230737,-0.0275530286464028,0.5754029906422848,0.25,0.0,0.0,0.0625,0.21875,0.2639136904761905,32
c6_aggressive_redaction,T2,0.017861231967025416,0.40625,0.03421803026979601,-0.031822522588701975,0.5445399397818789,0.25,0.0,0.0,0.0,0.25,0.22650049603174605,32
c6_aggressive_redaction,T3,0.016536518144235186,0.375,0.03167619885613726,-0.028394152907771586,0.5668141834838946,0.24999999999999997,0.0,0.0,0.0625,0.40625,0.303062996031746,32
