seed,condition,threshold,val_pair_f1,edit_ratio,pair_precision,pair_recall,pair_f1,cluster_ari,cluster_nmi,bcubed_precision,bcubed_recall,bcubed_f1,num_pred_clusters,fixedk_ari,fixedk_nmi,fixedk_bcubed_f1,aux_top1,aux_top3,aux_mrr,attr_exact_recovery,attr_coarse_recovery,domain_acc,issue_acc,fact_preservation,retrieval_recall_at_5,retrieval_mrr
20260627,original,0.4778803247858418,0.9750889679715302,0.0,0.9962894248608536,0.9322916666666666,0.9632286995515696,0.9727537881482536,0.9968261847379788,0.9791666666666666,1.0,0.9894736842105264,94.0,1.0,1.0,1.0,0.7083333333333334,0.84375,0.7925016534391535,0.3948863636363636,0.7878787878787878,1.0,1.0,0.6819444444444444,1.0,1.0
20260627,c1_direct_redaction,0.4018656126256197,0.3816793893129771,0.2459774209738927,0.1545595054095827,0.3472222222222222,0.213903743315508,0.0103127675963823,0.3027234921949711,0.0586647727272727,0.7395833333333334,0.1087067738300017,13.0,0.1131116350922839,0.7424225015422531,0.3709233823835834,0.7083333333333334,0.84375,0.7927496693121693,0.3948863636363636,0.7878787878787878,1.0,1.0,0.6819444444444444,1.0,1.0
20260627,c1b_presidio_redaction,0.256086249677187,0.3138297872340425,0.3484981242478663,0.0860731437015145,0.4045138888888889,0.1419433445019799,-6.141256671031085e-05,0.1123788536787654,0.0698147506925207,0.91015625,0.1296820653674156,24.0,0.0728768077146676,0.7105422502426462,0.3262748610764555,0.59375,0.8020833333333334,0.7203786375661375,0.3323863636363636,0.7054924242424242,1.0,1.0,0.6819444444444444,1.0,1.0
20260627,c2_consistent_pseudonym,0.5169503537567256,0.9750889679715302,0.2987698802612304,1.0,0.9583333333333334,0.9787234042553192,1.0,1.0,1.0,1.0,1.0,96.0,1.0,1.0,1.0,0.4270833333333333,0.6770833333333334,0.5897073412698414,0.2727272727272727,0.6960227272727273,1.0,1.0,0.6791666666666667,1.0,1.0
20260627,c3_per_doc_pseudonym,0.0893512534463586,0.3417366946778711,0.3146802328667641,0.0916563912864776,0.3871527777777778,0.1482220006646726,0.0002013937643984,0.1295379926278405,0.0278137327416173,0.83984375,0.0538442647515872,8.0,0.0718556549801965,0.7217875446876613,0.3249414258119902,0.4270833333333333,0.6770833333333334,0.5897073412698414,0.2727272727272727,0.6960227272727273,1.0,1.0,0.6791666666666667,1.0,1.0
20260627,c4_doc_local_anon,0.3507119398907617,0.3313609467455621,0.2878593370619645,0.0967192160204516,0.3940972222222222,0.1553198768388641,0.0,0.0,0.0104166666666666,1.0,0.0206185567010309,1.0,0.0886948622870584,0.7267977503473062,0.3502907930439083,0.6041666666666666,0.84375,0.7371941137566139,0.3039772727272727,0.7878787878787878,1.0,1.0,0.6819444444444444,1.0,1.0
20260627,c5_linkguard,0.3924967438769916,0.0817253121452894,0.53511621320285,0.0098042485076866,0.5104166666666666,0.0192389490560481,7.847550861121566e-06,0.083970093133234,0.0255411443825441,0.90625,0.0496820821623473,7.0,-0.0100731945537528,0.6591801821263873,0.25,0.0416666666666666,0.2604166666666667,0.2554522156084656,0.0,0.1117424242424242,1.0,1.0,0.695138888888889,1.0,1.0
20260627,c6_aggressive_redaction,0.9029325082213698,0.0601565718994643,0.6806139285870887,0.0079130107121709,0.5104166666666666,0.0155844155844155,0.0,0.0,0.0104166666666666,1.0,0.0206185567010309,1.0,-0.0123265241041805,0.5900784225252239,0.25,0.0520833333333333,0.3125,0.2756944444444444,0.0,0.0,1.0,0.35,0.3888888888888889,0.3125,0.1637568161913408
20260628,original,0.4702666812086321,0.9750889679715302,0.0,1.0,0.9652777777777778,0.9823321554770318,1.0,1.0,1.0,1.0,1.0,96.0,1.0,1.0,1.0,0.6875,0.8854166666666666,0.7975239748677249,0.396780303030303,0.7878787878787878,1.0,1.0,0.6847222222222221,1.0,1.0
20260628,c1_direct_redaction,0.2822882464644436,0.408284023668639,0.2482686343009094,0.0993088395780283,0.4739583333333333,0.1642105263157894,0.0,0.0,0.0104166666666666,1.0,0.0206185567010309,1.0,0.1163325740691382,0.7436470331657643,0.3720848764082836,0.6875,0.875,0.7966559193121694,0.396780303030303,0.7869318181818182,1.0,0.9979166666666668,0.6833333333333333,1.0,1.0
